contact_bin,contact_value,baseline_contact_mass,conditional_rg_lattice,conditional_rg_observed,conditional_moment,moment_quantity,rg_scale_used
0,0,0.0189825,3.7353841,1.2887075,13.953095,E[Rg^2 | m],0.345
1,1,0.060471667,3.5857547,1.2370854,12.857637,E[Rg^2 | m],0.345
2,2,0.10698167,3.4450777,1.1885518,11.868561,E[Rg^2 | m],0.345
3,3,0.13968639,3.3129828,1.1429791,10.975855,E[Rg^2 | m],0.345
4,4,0.14987292,3.1850345,1.0988369,10.144445,E[Rg^2 | m],0.345
5,5,0.13945125,3.0628277,1.0566755,9.3809134,E[Rg^2 | m],0.345
6,6,0.11644569,2.9443702,1.0158077,8.6693156,E[Rg^2 | m],0.345
7,7,0.089565139,2.8311549,0.97674844,8.0154381,E[Rg^2 | m],0.345
8,8,0.064468472,2.7223972,0.93922702,7.4114463,E[Rg^2 | m],0.345
9,9,0.043924028,2.6168502,0.90281333,6.8479051,E[Rg^2 | m],0.345
10,10,0.028392639,2.5181341,0.86875627,6.3409994,E[Rg^2 | m],0.345
11,11,0.017736667,2.4221863,0.83565426,5.8669863,E[Rg^2 | m],0.345
12,12,0.010580972,2.3337858,0.80515611,5.4465563,E[Rg^2 | m],0.345
13,13,0.0061670833,2.2494782,0.77606998,5.0601522,E[Rg^2 | m],0.345
14,14,0.0034744444,2.172099,0.74937416,4.7180141,E[Rg^2 | m],0.345
15,15,0.0018906944,2.0967279,0.72337112,4.3962679,E[Rg^2 | m],0.345
16,16,0.00097902778,2.0286152,0.69987223,4.1152795,E[Rg^2 | m],0.345
17,17,0.00049805556,1.9702729,0.67974416,3.8819754,E[Rg^2 | m],0.345
18,18,0.00023111111,1.8990901,0.65518607,3.606543,E[Rg^2 | m],0.345
19,19,0.00011583333,1.8607133,0.64194608,3.4622539,E[Rg^2 | m],0.345
20,20,5e-05,1.818199,0.62727867,3.3058477,E[Rg^2 | m],0.345
21,21,2.2638889e-05,1.7862162,0.61624458,3.1905683,E[Rg^2 | m],0.345
22,22,7.3611111e-06,1.7518217,0.60437849,3.0688793,E[Rg^2 | m],0.345
23,23,1.9444444e-06,1.692214,0.58381383,2.8635882,E[Rg^2 | m],0.345
24,24,1.25e-06,1.6859006,0.58163569,2.8422607,E[Rg^2 | m],0.345
25,25,4.1666667e-07,1.6761034,0.57825567,2.8093226,E[Rg^2 | m],0.345
26,26,1.3888889e-07,1.621509,0.55942061,2.6292915,E[Rg^2 | m],0.345
