temp_index,temperature,split,rg_target_input,rg_lower_input,rg_upper_input,rg_target_units,rg_target_lattice,rg_target_observed,rg_pred_lattice,rg_pred_observed,residual_target_units,absolute_error_target_units,squared_error_target_units,objective_contribution,inside_input_range,b_T,q_T,rg_scale_effective,rg_scale_initial,rg_scale_was_fitted
0,240,validation,1.341,1.248,1.513,observed,3.8869565,1.341,3.7331609,1.2879405,-0.053059502,0.053059502,0.0028153108,0.0028153108,True,7.7446589,-18.331203,0.345,0.345,False
1,250,train,1.352,1.178,1.446,observed,3.9188406,1.352,3.7286395,1.2863806,-0.065619376,0.065619376,0.0043059025,0.0043059025,True,7.5542849,-17.99787,0.345,0.345,False
2,260,train,1.457,1.387,1.56,observed,4.2231884,1.457,3.7158156,1.2819564,-0.17504362,0.17504362,0.030640269,0.030640269,False,7.3785551,-17.690178,0.345,0.345,False
3,270,validation,1.354,1.274,1.388,observed,3.9246377,1.354,3.6826634,1.2705189,-0.083481118,0.083481118,0.0069690971,0.0069690971,False,7.2158424,-17.405277,0.345,0.345,False
4,280,train,1.271,1.13,1.327,observed,3.684058,1.271,3.605652,1.24395,-0.027050048,0.027050048,0.00073170508,0.00073170508,True,7.0647519,-17.140727,0.345,0.345,False
5,290,train,1.187,1.13,1.231,observed,3.4405797,1.187,3.4497206,1.1901536,0.0031536238,0.0031536238,9.9453431e-06,9.9453431e-06,True,6.9240815,-16.894422,0.345,0.345,False
6,298,validation,1.066,0.939,1.187,observed,3.0898551,1.066,3.2484012,1.1206984,0.054698422,0.054698422,0.0029919173,0.0029919173,True,6.8183427,-16.709279,0.345,0.345,False
7,310,train,0.944,0.892,0.985,observed,2.7362319,0.944,2.8379038,0.97907682,0.035076825,0.035076825,0.0012303837,0.0012303837,True,6.6699673,-16.449483,0.345,0.345,False
8,320,train,0.835,0.805,0.853,observed,2.4202899,0.835,2.4752042,0.85394545,0.018945447,0.018945447,0.00035892996,0.00035892996,False,6.5548218,-16.24787,0.345,0.345,False
9,330,validation,0.769,0.731,0.827,observed,2.2289855,0.769,2.1733249,0.74979711,-0.019202893,0.019202893,0.00036875111,0.00036875111,True,6.4466547,-16.058476,0.345,0.345,False
10,340,train,0.708,0.688,0.739,observed,2.0521739,0.708,1.9599857,0.67619507,-0.031804928,0.031804928,0.0010115535,0.0010115535,False,6.3448505,-15.880223,0.345,0.345,False
11,350,train,0.717,0.689,0.737,observed,2.0782609,0.717,1.824154,0.62933314,-0.087666861,0.087666861,0.0076854786,0.0076854786,False,6.2488636,-15.712156,0.345,0.345,False
12,360,validation,0.705,0.695,0.715,observed,2.0434783,0.705,1.7424092,0.60113119,-0.10386881,0.10386881,0.01078873,0.01078873,False,6.1582094,-15.553426,0.345,0.345,False
