replicate,h1,s1,h2,s2,train_objective,validation_objective,all_objective,train_rmse,validation_rmse,all_rmse,T_bias_zero,T_rg_max_slope,collapse_detected
0,169.78470296897598,-2.936030254001823,278.76800683178453,10.0,0.006201296313390488,0.005336731680450938,0.005868771454567583,0.07874830990815287,0.07305293752102607,0.07660790725876529,,311.76,True
1,132.65401254724344,-3.036378646707267,304.59672339710363,10.0,0.007767877352154546,0.0056973146838717945,0.006971507095122719,0.08813556235796392,0.07548055831717061,0.08349555134929476,,317.88,True
2,848.4391433812688,-3.0861833018833003,-1391.7999042464937,9.99810370827688,0.005758631351529833,0.00416439531548471,0.005145463645358631,0.07588564654484953,0.06453212622783097,0.07173188722847483,,312.48,True
3,441.33403450704515,-2.848210690266022,-280.66288877457794,10.0,0.0065160114859452445,0.006123245171622043,0.00636494751889786,0.08072181542770977,0.0782511672221063,0.07978062119899706,,313.2,True
4,1119.2148656310246,-3.0605125852533166,-2000.0,9.998470411669594,0.005645209130925042,0.004261730865028788,0.005113102105580329,0.0751346067463259,0.06528193368022112,0.07150595853200158,,311.52,True
5,423.7519390383515,-2.9002330193947445,-281.3358394717876,10.0,0.0061808422167650865,0.00556704979684338,0.005944768209102892,0.07861833257431174,0.07461266512357925,0.07710232298123638,,311.4,True
6,1188.3606713151582,-1.2150524646288423,-802.2861255364348,10.0,0.017105253705377833,0.019510386620397953,0.018030304826539417,0.13078705480810338,0.13967958555350152,0.13427697057403185,,317.15999999999997,True
7,1092.714308940182,-2.569139825379121,-2000.0,8.672822883847104,0.005896018646090085,0.003952822810694331,0.005148635632476334,0.07678553669858722,0.06287147851525628,0.07175399384338361,,310.32,True
8,1174.5166309034114,-2.881399337178493,-1999.9999996440663,10.0,0.006197237140618873,0.005731238805082652,0.006018007011566481,0.0787225326105485,0.07570494571084938,0.07757581460459491,,311.28,True
9,370.80876284508423,-3.1161995659672854,-313.5097752712224,10.0,0.005886838714375126,0.0040798249819658785,0.005191833432679261,0.07672573697511889,0.06387350766918848,0.07205437830332909,,311.15999999999997,True
10,861.9913952733743,-3.069839124931581,-1414.9207013575267,10.0,0.005711713497087335,0.004264202025314637,0.005154978315636298,0.07557587906923303,0.06530085776859777,0.07179817766236339,,310.32,True
11,1141.2575085767328,-2.990132623615536,-2000.0,10.0,0.005735001000081599,0.004754430314606041,0.005357858428744846,0.07572978938358141,0.0689523771497839,0.0731973935925648,,311.64,True
12,444.87820464734045,-2.8347741978434517,-280.57211723822684,10.0,0.0065318104970134,0.0062212136800930806,0.006412350182813277,0.08081961703085087,0.07887467071305643,0.08007715144042823,,312.6,True
13,441.217065305554,-2.8351405994858196,-280.6671786183166,10.0,0.006976476020715384,0.006398902401619269,0.006754332321063033,0.08352530167988251,0.07999313971597358,0.08218474506295577,,309.12,True
14,135.49677205659202,-3.0340696198771786,286.02880451650157,10.0,0.0060498533950131645,0.004663525710798395,0.005516650439545945,0.07778080351226235,0.0682900117938077,0.0742741572792714,,310.68,True
15,854.5858117087982,-3.044333124471053,-1379.0842261757678,10.0,0.005687478636356741,0.004394635279607982,0.005190231191453372,0.07541537400528317,0.06629204537203526,0.07204325916734593,,310.68,True
16,109.29411009244198,-3.1005911962477835,300.7115844759495,10.0,0.006103997211638143,0.004301228953863058,0.005410624804801572,0.07812808209368859,0.0655837552589287,0.07355694939841899,,311.52,True
17,661.8046406164146,-3.1076066734435823,-978.1562753756932,10.0,0.005755803890530518,0.004050617502097315,0.005099962971902364,0.07586701450914302,0.06364446167654586,0.07141402503641958,,311.28,True
18,851.642951517978,-3.217364129970752,-1495.3616023562781,10.0,0.006511100211980607,0.003960898753059126,0.005530253497010806,0.0806913887102001,0.06293567154689879,0.07436567418514274,,310.32,True
19,750.0869245997192,0.41288946877081695,-0.020945963408098442,5.680876483783742,0.013279610692859104,0.017740361525336035,0.014995284089965618,0.11523719318370743,0.1331929484820275,0.12245523300359858,,313.08,True
20,361.3519535361101,-3.1180780685919376,-282.8530148376666,10.0,0.007379976963200018,0.005017157882968319,0.006471200393880133,0.08590679229956161,0.07083189876721023,0.08044377162888457,,317.03999999999996,True
21,441.8991337338923,-2.8717857722307074,-280.57220751988314,10.0,0.01070290768868179,0.008353270141951436,0.009799200939939346,0.10345485821691405,0.09139622608155895,0.09899091342107792,,321.12,True
22,681.2588727880884,-2.961686953166149,-904.280957732287,10.0,0.008124806115950631,0.006380737366243741,0.007454010442986442,0.09013770640498144,0.07987951781429167,0.0863366112549389,,318.48,True
