temperature,rg_pred_median,rg_pred_lo,rg_pred_hi,rg_target,rg_lower,rg_upper,units
240,1.2861754,1.2758781,1.2883321,1.341,1.248,1.513,observed
250,1.2836942,1.2689229,1.2882387,1.352,1.178,1.446,observed
260,1.278412,1.2550014,1.2880886,1.457,1.387,1.56,observed
270,1.2666123,1.2328522,1.2879686,1.354,1.274,1.388,observed
280,1.2395641,1.1973312,1.2877709,1.271,1.13,1.327,observed
290,1.1863812,1.1358714,1.2847901,1.187,1.13,1.231,observed
298,1.1183546,1.0628032,1.2712408,1.066,0.939,1.187,observed
310,0.97818188,0.93927844,1.198066,0.944,0.892,0.985,observed
320,0.86208191,0.66092779,1.1650984,0.835,0.805,0.853,observed
330,0.76457972,0.57849578,1.0729385,0.769,0.731,0.827,observed
340,0.69156878,0.56324391,0.76806773,0.708,0.688,0.739,observed
350,0.64168002,0.56052006,0.69578184,0.717,0.689,0.737,observed
360,0.60945508,0.55982686,0.64651816,0.705,0.695,0.715,observed
