restart_index,success,objective,n_iter,h1,s1,h2,s2,message
0,True,0.013236065,16,750.02656,0.79708182,-0.01129068,4.7951349,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1,True,0.12896525,0,729.40745,-8.9235796,-1118.5605,-6.3125638,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2,True,0.0091965293,46,2000,6.286091,-2000,-5.1541235,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
3,True,0.12896628,2,1279.0877,-10,51.893511,-10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
4,True,0.12896113,0,1296.9664,-5.7247407,965.86821,2.5988041,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
5,True,0.12896425,0,1709.629,-5.3618362,1196.5005,0.36330074,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
6,True,0.0091968016,50,1999.7758,6.2852548,-2000,-5.1537593,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
7,True,0.0091965292,51,2000,6.2860726,-2000,-5.1541025,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,True,0.014093957,16,1674.3941,5.2930182,1668.4931,6.3160829,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
9,True,0.0096147093,45,1999.9998,6.1285402,-2000,-4.7414371,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
10,True,0.012393785,13,1188.1934,3.3166778,-802.24326,-0.35714427,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
11,True,0.32559803,0,-1714.0528,1.6647682,-1048.3744,5.2992729,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,True,0.005746771,33,1142.2436,-2.9853105,-2000,9.99787,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
13,True,0.0091965294,40,2000,6.2861666,-2000,-5.1543106,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
14,True,0.0091965308,41,1999.9988,6.2861298,-2000,-5.1542385,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
15,True,0.012044156,12,1340.4104,3.9604323,-935.63725,-1.1828567,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
16,True,0.0060195453,27,120.48549,-3.0417506,317.04199,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
17,True,0.12894792,1,-415.38222,-9.5552758,-122.59685,2.4711683,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
18,True,0.012046508,10,1784.4341,5.8127765,-57.434795,0.23915603,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
19,True,0.3255725,1,-365.63608,1.5758888,-1718.5973,-0.2323451,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
20,True,0.0064551645,18,441.22054,-2.8451335,-280.62051,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
21,True,0.32559804,0,-1976.4399,5.1295794,-1689.6961,-0.20023925,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
22,True,0.020742315,29,2000,7.3457445,860.31931,-0.23099419,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
23,True,0.12893933,1,1591.0732,-3.249392,1248.4484,5.9768724,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
24,True,0.0093096264,57,1999.9998,6.2082079,-2000,-4.9467181,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
25,True,0.32557887,1,-1393.845,7.4654398,-1283.493,-9.3941231,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
26,True,0.0149999,17,237.44282,-1.1122541,1434.3039,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
27,True,0.0091967578,54,1999.8118,6.2853667,-2000,-5.153797,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
28,True,0.12895992,0,752.39365,-7.018947,960.61989,-4.1363743,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
29,True,0.021114014,33,2000,7.5139739,1650.4796,1.7295553,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
30,True,0.02313615,12,450.85047,1.2982118,998.56368,4.3881419,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
31,True,0.012454218,18,1842.2016,6.1110256,717.70033,2.2474661,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
