scheme,split,h1,s1,h2,s2,train_objective,validation_objective,train_rmse,validation_rmse,all_rmse,train_mae,validation_mae,T_bias_zero,T_rg_max_slope,boundary_hits,optimizer_success,train_indices,validation_indices
every_third_phase,every_third_phase0,1142.2436132670632,-2.985310462245468,-2000.0,9.997869985507446,0.00574677096587276,0.00478676131551916,0.07580745982997161,0.06918642435853409,0.07333168813662706,0.0555450912270745,0.06286214957323213,,311.4,h2@lo,True,1 2 4 5 7 8 10 11,0 3 6 9 12
every_third_phase,every_third_phase1,787.6139298252133,-2.9726558583239564,-1171.7336354782306,10.0,0.007049502379379721,0.0018651250402400045,0.08396131477877011,0.043187093445148685,0.07385329614818906,0.06758726473171035,0.04041709833659396,,311.64,s2@hi,True,0 2 3 5 6 8 9 11 12,1 4 7 10
every_third_phase,every_third_phase2,111.52822753462519,-3.102167799307359,293.7204188221848,10.0,0.0033710723447042687,0.01001650894585619,0.058060936478016516,0.10008251068921178,0.07359226907859023,0.048895459572142835,0.07580434656675133,,311.15999999999997,s2@hi,True,0 1 3 4 6 7 9 10 12,2 5 8 11
kfold,kfold5_fold0,105.5002605486646,-3.0990717921837976,310.08716891737186,10.0,0.00664874288184718,0.0013211545809159063,0.08153982390125196,0.036347690173048224,0.07361589113626295,0.06626006844749222,0.027643172342437294,,311.28,s2@hi,True,1 2 3 4 6 7 8 9 11 12,0 5 10
kfold,kfold5_fold1,143.1618580575284,-3.011116614066786,287.34680215966955,10.0,0.005789153147949101,0.004699402427959153,0.0760864846602148,0.06855218762343877,0.0744155374405561,0.05598810286135854,0.06770708440864692,,312.12,s2@hi,True,0 2 3 4 5 7 8 9 10 12,1 6 11
kfold,kfold5_fold2,994.6116608456646,-3.0812314441057906,-1727.076066254836,10.0,0.0024976551374774826,0.013703257749667639,0.049976545873814476,0.117060914696869,0.07129911242503854,0.04179984865898597,0.10115335106909888,,311.4,s2@hi,True,0 1 3 4 5 6 8 9 10 11,2 7 12
kfold,kfold5_fold3,1093.0172433553118,-2.953941951222309,-2000.0,9.555889995559522,0.005015135198972767,0.0058026100199627855,0.07081761926930873,0.07617486475185095,0.07166788103071535,0.055250160473132824,0.07199310095473876,,311.64,h2@lo,True,0 1 2 4 5 6 7 9 10 11 12,3 8
kfold,kfold5_fold4,864.2265322003643,-3.1299278931027463,-1461.4282777469837,10.0,0.005809525799832634,0.0012013202511350527,0.07622024534093703,0.03466006709651689,0.07141828267350739,0.06073108811448922,0.029923674776200893,,311.03999999999996,s2@hi,True,0 1 2 3 5 6 7 8 10 11 12,4 9
blocked_low,blocked_low,836.226338035481,-3.111452346502215,-1383.4319073895483,10.0,0.005312507011877044,0.0038167531392936612,0.07288694678663007,0.06177987649140828,0.07129089024187873,0.054535337977892756,0.061375132163869695,,311.15999999999997,s2@hi,True,2 3 4 5 6 7 8 9 10 11 12,0 1
blocked_mid,blocked_mid,760.015184765958,-3.0837393607016597,-1186.3395716977932,10.0,0.005827415371219008,0.0012059904302578765,0.0763375095953425,0.03472737292479632,0.0715292032582738,0.06141570457676111,0.02801056045556427,,312.0,s2@hi,True,0 1 2 3 4 7 8 9 10 11 12,5 6
blocked_high,blocked_high,404.2202303024777,-2.982991451100625,-296.8588438057741,10.0,0.00476500427807197,0.009666372493605,0.06902901040918934,0.09831771200350932,0.0742903824637854,0.05132221090790123,0.09803340463247345,,310.68,s2@hi,True,0 1 2 3 4 5 6 7 8 9 10,11 12
random,random0,1066.7306463267632,-3.121460500824908,-1920.716055399737,10.0,0.005565656581847139,0.002633699434323804,0.07460332822231953,0.051319581392717965,0.07151633555670295,0.05867637582371021,0.051238183915317426,,312.12,s2@hi,True,1 2 3 4 5 6 7 9 10 11 12,0 8
random,random1,1120.768752711115,-3.054281413839782,-2000.0,10.0,0.005290049788818257,0.00433366142705723,0.07273272845712758,0.0658305508639965,0.07171410682549215,0.05442643501843996,0.06485469109699077,,310.8,h2@lo;s2@hi,True,1 2 3 4 5 6 7 8 9 10 12,0 11
random,random2,818.8908741557448,-3.171697856277399,-1387.9485524314302,10.0,0.002095526324497524,0.02268545339248748,0.0457769191241342,0.15061690938433003,0.07254796628356025,0.040818136564076644,0.14484413239407368,,310.08,s2@hi,True,0 1 4 5 6 7 8 9 10 11 12,2 3
random,random3,99.67832971573105,-3.1505481950167833,285.7440394266287,10.0,0.0029690541978887055,0.019681697324767728,0.05448902823402804,0.1402914727443109,0.07443272172614947,0.04614699283361468,0.12394258076558085,,310.56,s2@hi,True,0 1 3 5 6 7 8 9 10 11 12,2 4
random,random4,648.8817088142506,-2.7664284800673817,-918.2475420827043,9.31362270070664,0.00531271234872399,0.00435825299680954,0.07288835537123875,0.0660170659512337,0.07187400398217327,0.0565299518353757,0.05288918121907149,,310.8,,True,0 1 2 3 4 6 7 8 9 10 11,5 12
