bias,pred_rg_lattice,pred_rg_observed,mean_contacts,cov_contact_rg,corr_contact_rg,d_rg_db,rg_scale_used,scale_label,rg_summary
-10,1.6215166,0.65665019,25.999864,-7.3764852e-06,-0.81641319,7.7534898e-06,0.4049605139,fitted scale,rms
-9.95,1.621517,0.65665034,25.999857,-7.7547037e-06,-0.81640891,7.9522645e-06,0.4049605139,fitted scale,rms
-9.9,1.6215174,0.65665051,25.999849,-8.1523158e-06,-0.81640442,8.3600061e-06,0.4049605139,fitted scale,rms
-9.85,1.6215178,0.65665068,25.999842,-8.5703159e-06,-0.8163997,8.7886553e-06,0.4049605139,fitted scale,rms
-9.8,1.6215183,0.65665087,25.999834,-9.0097498e-06,-0.81639473,9.2392842e-06,0.4049605139,fitted scale,rms
-9.75,1.6215187,0.65665106,25.999825,-9.4717164e-06,-0.81638951,9.7130199e-06,0.4049605139,fitted scale,rms
-9.7,1.6215192,0.65665126,25.999816,-9.9573714e-06,-0.81638402,1.0211047e-05,0.4049605139,fitted scale,rms
-9.65,1.6215197,0.65665147,25.999807,-1.046793e-05,-0.81637825,1.0734613e-05,0.4049605139,fitted scale,rms
-9.6,1.6215203,0.65665169,25.999797,-1.1004668e-05,-0.81637219,1.1285025e-05,0.4049605139,fitted scale,rms
-9.55,1.6215209,0.65665193,25.999786,-1.156893e-05,-0.81636581,1.1863662e-05,0.4049605139,fitted scale,rms
-9.5,1.6215215,0.65665217,25.999775,-1.2162126e-05,-0.81635911,1.247197e-05,0.4049605139,fitted scale,rms
-9.45,1.6215221,0.65665243,25.999764,-1.278574e-05,-0.81635206,1.3111471e-05,0.4049605139,fitted scale,rms
-9.4,1.6215228,0.65665271,25.999752,-1.3441333e-05,-0.81634465,1.3783766e-05,0.4049605139,fitted scale,rms
-9.35,1.6215235,0.65665299,25.999739,-1.4130545e-05,-0.81633687,1.4490536e-05,0.4049605139,fitted scale,rms
-9.3,1.6215242,0.65665329,25.999726,-1.4855099e-05,-0.81632868,1.5233549e-05,0.4049605139,fitted scale,rms
-9.25,1.621525,0.65665361,25.999712,-1.561681e-05,-0.81632008,1.6014664e-05,0.4049605139,fitted scale,rms
-9.2,1.6215258,0.65665394,25.999697,-1.6417581e-05,-0.81631103,1.6835836e-05,0.4049605139,fitted scale,rms
-9.15,1.6215267,0.65665429,25.999681,-1.7259418e-05,-0.81630152,1.7699119e-05,0.4049605139,fitted scale,rms
-9.1,1.6215276,0.65665466,25.999665,-1.8144426e-05,-0.81629152,1.8606673e-05,0.4049605139,fitted scale,rms
-9.05,1.6215286,0.65665504,25.999648,-1.9074819e-05,-0.81628101,1.9560769e-05,0.4049605139,fitted scale,rms
-9,1.6215296,0.65665545,25.99963,-2.0052926e-05,-0.81626997,2.0563794e-05,0.4049605139,fitted scale,rms
-8.95,1.6215306,0.65665588,25.999611,-2.1081195e-05,-0.81625835,2.1618258e-05,0.4049605139,fitted scale,rms
-8.9,1.6215317,0.65665632,25.999591,-2.2162197e-05,-0.81624615,2.27268e-05,0.4049605139,fitted scale,rms
-8.85,1.6215329,0.6566568,25.99957,-2.329864e-05,-0.81623331,2.3892193e-05,0.4049605139,fitted scale,rms
-8.8,1.6215341,0.65665729,25.999548,-2.4493366e-05,-0.81621982,2.5117355e-05,0.4049605139,fitted scale,rms
-8.75,1.6215354,0.65665781,25.999524,-2.5749366e-05,-0.81620564,2.6405352e-05,0.4049605139,fitted scale,rms
-8.7,1.6215368,0.65665836,25.9995,-2.7069783e-05,-0.81619073,2.7759407e-05,0.4049605139,fitted scale,rms
-8.65,1.6215382,0.65665894,25.999474,-2.8457922e-05,-0.81617506,2.9182909e-05,0.4049605139,fitted scale,rms
-8.6,1.6215397,0.65665954,25.999447,-2.9917258e-05,-0.81615859,3.0679422e-05,0.4049605139,fitted scale,rms
-8.55,1.6215413,0.65666018,25.999419,-3.1451444e-05,-0.81614127,3.2252691e-05,0.4049605139,fitted scale,rms
-8.5,1.6215429,0.65666085,25.999389,-3.3064321e-05,-0.81612307,3.3906656e-05,0.4049605139,fitted scale,rms
-8.45,1.6215446,0.65666155,25.999358,-3.4759925e-05,-0.81610393,3.5645455e-05,0.4049605139,fitted scale,rms
-8.4,1.6215465,0.65666229,25.999325,-3.6542503e-05,-0.81608382,3.7473444e-05,0.4049605139,fitted scale,rms
-8.35,1.6215484,0.65666307,25.99929,-3.8416517e-05,-0.81606267,3.9395198e-05,0.4049605139,fitted scale,rms
-8.3,1.6215504,0.65666389,25.999254,-4.038666e-05,-0.81604045,4.1415529e-05,0.4049605139,fitted scale,rms
-8.25,1.6215525,0.65666475,25.999216,-4.2457866e-05,-0.81601708,4.3539498e-05,0.4049605139,fitted scale,rms
-8.2,1.6215548,0.65666565,25.999175,-4.4635321e-05,-0.81599252,4.5772421e-05,0.4049605139,fitted scale,rms
-8.15,1.6215571,0.6566666,25.999133,-4.6924478e-05,-0.81596671,4.8119893e-05,0.4049605139,fitted scale,rms
-8.1,1.6215596,0.6566676,25.999089,-4.9331072e-05,-0.81593957,5.0587793e-05,0.4049605139,fitted scale,rms
-8.05,1.6215622,0.65666865,25.999042,-5.186113e-05,-0.81591105,5.3182302e-05,0.4049605139,fitted scale,rms
-8,1.6215649,0.65666975,25.998993,-5.4520991e-05,-0.81588106,5.5909919e-05,0.4049605139,fitted scale,rms
-7.95,1.6215678,0.65667091,25.998941,-5.7317318e-05,-0.81584954,5.8777479e-05,0.4049605139,fitted scale,rms
-7.9,1.6215708,0.65667213,25.998887,-6.0257119e-05,-0.81581642,6.1792167e-05,0.4049605139,fitted scale,rms
-7.85,1.6215739,0.65667342,25.998829,-6.3347759e-05,-0.81578159,6.4961536e-05,0.4049605139,fitted scale,rms
-7.8,1.6215773,0.65667476,25.998769,-6.6596984e-05,-0.81574499,6.8293529e-05,0.4049605139,fitted scale,rms
-7.75,1.6215808,0.65667618,25.998706,-7.0012938e-05,-0.81570652,7.1796497e-05,0.4049605139,fitted scale,rms
-7.7,1.6215845,0.65667767,25.99864,-7.3604183e-05,-0.81566608,7.5479222e-05,0.4049605139,fitted scale,rms
