temp_index,temperature,split,rg_target_input,rg_lower_input,rg_upper_input,rg_target_units,rg_target_lattice,rg_target_observed,rg_pred_lattice,rg_pred_observed,residual_target_units,absolute_error_target_units,squared_error_target_units,objective_contribution,inside_input_range,b_T,rg_scale_effective,rg_scale_initial,rg_scale_was_fitted
0,240,validation,1.341,1.248,1.513,observed,3.311434,1.341,3.5695303,1.4455188,0.10451884,0.10451884,0.010924189,0.010924189,True,1.1221811,0.4049605139,0.345,True
1,250,train,1.352,1.178,1.446,observed,3.3385971,1.352,3.5048401,1.4193218,0.067321834,0.067321834,0.0045322294,0.0045322294,True,0.8262036,0.4049605139,0.345,True
2,260,train,1.457,1.387,1.56,observed,3.5978816,1.457,3.4189899,1.3845559,-0.072444094,0.072444094,0.0052481468,0.0052481468,False,0.55299363,0.4049605139,0.345,True
3,270,validation,1.354,1.274,1.388,observed,3.3435359,1.354,3.3045464,1.3382108,-0.015789189,0.015789189,0.00024929847,0.00024929847,True,0.30002143,0.4049605139,0.345,True
4,280,train,1.271,1.13,1.327,observed,3.1385776,1.271,3.1503622,1.2757723,0.0047723,0.0047723,2.2774847e-05,2.2774847e-05,True,0.065118674,0.4049605139,0.345,True
5,290,train,1.187,1.13,1.231,observed,2.93115,1.187,2.9406393,1.1908428,0.0038428129,0.0038428129,1.4767211e-05,1.4767211e-05,True,-0.15358389,0.4049605139,0.345,True
6,298,validation,1.066,0.939,1.187,observed,2.6323554,1.066,2.7231864,1.102783,0.036782956,0.036782956,0.0013529859,0.0013529859,True,-0.31797777,0.4049605139,0.345,True
7,310,train,0.944,0.892,0.985,observed,2.3310915,0.944,2.338807,0.94712448,0.0031244754,0.0031244754,9.7623463e-06,9.7623463e-06,True,-0.54865949,0.4049605139,0.345,True
8,320,train,0.835,0.805,0.853,observed,2.0619294,0.835,2.0558185,0.83252533,-0.0024746693,0.0024746693,6.1239882e-06,6.1239882e-06,True,-0.72767812,0.4049605139,0.345,True
9,330,validation,0.769,0.731,0.827,observed,1.8989506,0.769,1.8730933,0.75852884,-0.010471158,0.010471158,0.00010964514,0.00010964514,True,-0.89584714,0.4049605139,0.345,True
10,340,train,0.708,0.688,0.739,observed,1.7483186,0.708,1.7733751,0.71814689,0.01014689,0.01014689,0.00010295938,0.00010295938,True,-1.0541239,0.4049605139,0.345,True
11,350,train,0.717,0.689,0.737,observed,1.770543,0.717,1.7205855,0.6967692,-0.0202308,0.0202308,0.00040928529,0.00040928529,True,-1.2033562,0.4049605139,0.345,True
12,360,validation,0.705,0.695,0.715,observed,1.7409105,0.705,1.6915664,0.68501758,-0.019982421,0.019982421,0.00039929717,0.00039929717,False,-1.3442979,0.4049605139,0.345,True
