temp_index,temperature,split,rg_target_input,rg_lower_input,rg_upper_input,rg_target_units,rg_target_lattice,rg_target_observed,rg_pred_lattice,rg_pred_observed,residual_target_units,absolute_error_target_units,squared_error_target_units,objective_contribution,inside_input_range,b_T
0,240,validation,1.341,1.248,1.513,observed,3.8869565,1.341,3.7065048,1.2787442,-0.062255847,0.062255847,0.0038757905,0.0038757905,True,2.7985322
1,250,train,1.352,1.178,1.446,observed,3.9188406,1.352,3.6860762,1.2716963,-0.080303694,0.080303694,0.0064486833,0.0064486833,True,2.2742644
2,260,train,1.457,1.387,1.56,observed,4.2231884,1.457,3.6540296,1.2606402,-0.1963598,0.1963598,0.038557172,0.038557172,False,1.7903248
3,270,validation,1.354,1.274,1.388,observed,3.9246377,1.354,3.6047071,1.2436239,-0.11037605,0.11037605,0.012182873,0.012182873,False,1.3422326
4,280,train,1.271,1.13,1.327,observed,3.684058,1.271,3.5293777,1.2176353,-0.053364685,0.053364685,0.0028477896,0.0028477896,True,0.92614706
5,290,train,1.187,1.13,1.231,observed,3.4405797,1.187,3.4135905,1.1776887,-0.0093112804,0.0093112804,8.6699943e-05,8.6699943e-05,True,0.53875702
6,298,validation,1.066,0.939,1.187,observed,3.0898551,1.066,3.27493,1.1298509,0.063850853,0.063850853,0.0040769315,0.0040769315,True,0.24756452
7,310,train,0.944,0.892,0.985,observed,2.7362319,0.944,2.9319908,1.0115368,0.067536819,0.067536819,0.0045612219,0.0045612219,False,-0.16104432
8,320,train,0.835,0.805,0.853,observed,2.4202899,0.835,2.4614122,0.8491872,0.014187202,0.014187202,0.00020127669,0.00020127669,True,-0.47814181
9,330,validation,0.769,0.731,0.827,observed,2.2289855,0.769,1.9939938,0.68792788,-0.081072122,0.081072122,0.006572689,0.006572689,False,-0.77602127
10,340,train,0.708,0.688,0.739,observed,2.0521739,0.708,1.7723355,0.61145576,-0.096544242,0.096544242,0.0093207907,0.0093207907,False,-1.0563784
11,350,train,0.717,0.689,0.737,observed,2.0782609,0.717,1.6954584,0.58493316,-0.13206684,0.13206684,0.01744165,0.01744165,False,-1.3207151
12,360,validation,0.705,0.695,0.715,observed,2.0434783,0.705,1.6663486,0.57489027,-0.13010973,0.13010973,0.016928541,0.016928541,False,-1.5703665
