replicate,A,Tc,train_objective,validation_objective,all_objective,train_rmse,validation_rmse,all_rmse,T_bias_zero,T_rg_max_slope
0,14.832533287897887,307.690640841338,0.010639195887755623,0.012474820018747524,0.011345205168906355,0.10314647782525403,0.11169073380879689,0.10651387312883874,307.690640841338,318.36
1,10.485695718393204,318.77095816738205,0.01698379793341944,0.012859064979819817,0.015397362182034968,0.13032190120397816,0.11339781735033447,0.12408610793330158,318.77095816738205,334.44
2,8.20459867673605,309.56490901424746,0.011379460245951847,0.007906015242426737,0.01004351985998065,0.10667455294470114,0.08891577611665287,0.10021736306639009,309.56490901424746,329.03999999999996
3,15.386416896438723,310.00418915074334,0.011274724040286854,0.012248514740209429,0.01164925892487246,0.1061825034564869,0.11067300818270653,0.10793173270578241,310.00418915074334,320.4
4,8.466217762710874,305.43819986859137,0.010203543728690635,0.007401507746752535,0.009125837581791366,0.10101259193135594,0.08603201582406711,0.09552924987558191,305.43819986859137,324.0
5,23.686408270705645,305.93075417157945,0.016186794965423343,0.016570025068736085,0.016334191159005168,0.12722733576328377,0.1287246094138028,0.12780528611526665,305.93075417157945,312.6
6,17.218113752116906,310.523273987262,0.011750229974462314,0.013787290745976854,0.012533714886583293,0.10839847773129618,0.1174192946068782,0.11195407489941263,310.523273987262,319.8
7,6.813471394592018,301.00093089172776,0.011228183395607955,0.007976825451266942,0.009977661109322949,0.1059631228098151,0.08931307547759702,0.09988824309858968,301.00093089172776,323.76
8,14.418236949029668,307.56999667658584,0.010529322500107189,0.012123826407216248,0.011142593233610673,0.10261248705741026,0.11010824858845157,0.10555848252798386,307.56999667658584,318.6
9,6.697971596527306,302.5461947131967,0.011268337467596076,0.007857161245923377,0.009956346613106579,0.10615242563218269,0.08864062976944251,0.09978149434191982,302.5461947131967,325.8
10,9.772802271625407,303.31698507576476,0.01009407507218698,0.008912086034115491,0.009639463903697945,0.10046927426923606,0.09440384544135631,0.09818077155786639,303.31698507576476,319.32
11,16.146837943379275,310.0935260100029,0.011403061189167351,0.012957160222001246,0.012000791586411156,0.10678511688979579,0.11382952262924256,0.10954812452256385,310.0935260100029,319.92
12,13.585293858526082,308.8459792862802,0.010659348800244165,0.010813919194078899,0.010718798951719063,0.10324412235204562,0.10398999564419117,0.10353163261399417,308.8459792862802,320.52
13,14.93577652042094,303.50802452686713,0.012506386728720988,0.013293015308472392,0.012808936182471527,0.11183195754667352,0.1152953394915527,0.11317657081954519,303.50802452686713,313.92
14,7.926378590145102,303.4273394014126,0.010335529202412985,0.007569789681761005,0.009271783232931456,0.10166380478032969,0.08700453828255746,0.09629009935051192,303.4273394014126,323.15999999999997
15,7.602494241021019,303.5146127172259,0.010492246800160579,0.007519911602123409,0.009349040954761668,0.1024316689318327,0.0867174238669681,0.09669043879702723,303.5146127172259,324.12
16,13.265033812485541,302.95175825630673,0.01168792211833865,0.012363282193141787,0.011947675993262933,0.10811069382044798,0.11119029720772307,0.10930542526911889,302.95175825630673,314.76
17,7.010064130818126,303.5580147501775,0.0109552260698778,0.007660693182387962,0.009688098036227862,0.10466721583130889,0.08752538593109979,0.09842813640533819,303.5580147501775,325.92
18,5.717159014883781,299.8124783188087,0.01296950911796204,0.008884116904546432,0.011398204420494499,0.11388375265138588,0.09425559349209166,0.10676237361774278,299.8124783188087,326.76
19,13.424148140266205,306.34838842792414,0.010322172971999048,0.011550508014358977,0.010794609526752867,0.10159809531678755,0.10747328977173341,0.10389711029067587,306.34838842792414,318.12
20,9.400753041627976,318.2414296220699,0.016584711550301313,0.012837038990642697,0.015143299027355691,0.12878164290884517,0.11330065750313498,0.12305811239961262,318.2414296220699,335.64
21,13.465223985823286,322.5034153887594,0.021793019879225432,0.016522320097553313,0.01976582765550539,0.14762459103830036,0.1285391772867452,0.1405909942190658,322.5034153887594,334.8
22,11.357679354276526,319.02240125081767,0.017444950947496804,0.012725594174871239,0.0156298137272562,0.13207933580805442,0.11280777532985586,0.12501925342624712,319.02240125081767,333.48
23,12.675395820466285,306.8020713614445,0.01015798812482185,0.01061786530132497,0.010334863961938435,0.10078684499884819,0.10304302645654859,0.10166053296111739,306.8020713614445,319.32
24,27.803899162752195,306.6434805980824,0.01734575255671465,0.01774635431825925,0.01749983015730873,0.1317032746620776,0.13321544324236306,0.13228692360663896,306.6434805980824,312.36
25,16.56511181473496,304.2507666043268,0.013131098671698947,0.014044624198325684,0.013482454643478461,0.11459100606809833,0.11851001729105301,0.11611397264532146,304.2507666043268,313.68
26,6.0265872109476595,303.19544628683167,0.012493975937562974,0.008536101159316372,0.010971716407468128,0.11177645520217115,0.0923910231533149,0.10474596129430541,303.19544628683167,329.03999999999996
27,16.207779053245943,310.4863324395041,0.011594826926508334,0.012876264249087752,0.012087687435192727,0.1076792780738631,0.11347362798944852,0.109944019551737,310.4863324395041,320.4
28,14.280869669121365,307.8645454284809,0.010517621536576222,0.011896532934882287,0.011047972074386247,0.10255545590838268,0.10907122872179577,0.10510933390706197,307.8645454284809,318.96
29,11.458657162799023,304.95651828001786,0.010040514631161547,0.010027292004435504,0.010035429005497686,0.1002023683909794,0.10013636704232635,0.10017698840301442,304.95651828001786,318.72
30,10.457755554500148,303.6648724581401,0.010100604428973578,0.009484260882981686,0.009863549218976699,0.10050176331275774,0.09738717001218222,0.09931540272775768,303.6648724581401,318.6
31,13.7343256850555,305.5507275651931,0.01059515910368871,0.012078847458130556,0.011165808470781729,0.10293278925439021,0.10990381002554259,0.10566838917472779,305.5507275651931,317.03999999999996
32,12.280555201288005,304.7525316001193,0.010281958975574431,0.01096636937683233,0.010545193745289007,0.10139999494859174,0.10472043438046048,0.10268979377371934,304.7525316001193,317.52
33,19.355331469863426,311.73190252306654,0.012722355291161409,0.015166131149240591,0.013662269082730324,0.11279341865180526,0.12315084713164011,0.11688570948892907,311.73190252306654,320.03999999999996
34,11.338859803985002,327.96032847486043,0.028379509444992963,0.024161504427020607,0.0267571998226959,0.16846218995665752,0.15543971315922006,0.16357628135734073,327.96032847486043,342.84
35,9.0465549014512,310.3151583281484,0.011380940409311969,0.007780977425200282,0.009996339261576705,0.10668149047192756,0.08820984879932786,0.09998169463245112,310.3151583281484,327.96
36,8.204152088788417,309.27723945095687,0.011266677961380723,0.00781690271585701,0.009939841328486989,0.10614460872498764,0.08841324966234987,0.09969875289333859,309.27723945095687,328.68
37,12.597672895712924,320.1780075597349,0.019081443856313444,0.013558074968961026,0.016957071207331746,0.13813559952565974,0.11643914706386777,0.13021931963933672,320.1780075597349,333.24
38,18.071133789013395,311.1311642235217,0.012180222502009544,0.014325648343423637,0.013005386287168809,0.11036404533184503,0.11968980049872101,0.1140411604955369,311.1311642235217,320.03999999999996
39,10.569061603556046,304.78043415469494,0.009953876625338282,0.009141934041763201,0.009641591016270943,0.09976911659094853,0.09561346161374559,0.09819160359354023,304.78043415469494,319.68
40,9.715677111393193,310.67907048043116,0.011464265781447915,0.0077573121595648315,0.010038514388415963,0.10707131166399296,0.08807560479250104,0.10019238687852468,310.67907048043116,327.12
41,8.071581521238553,306.62393195344856,0.010551249386621444,0.007380426293683637,0.009331702043183825,0.10271927465973192,0.08590940748069234,0.09660073521036901,306.62393195344856,326.15999999999997
42,9.593694016758958,306.2624916424891,0.01006847918128357,0.007780979583911389,0.009188671643832731,0.1003418117301236,0.08820986103555196,0.09585755913767433,306.2624916424891,322.68
43,14.385396257576454,303.5029597913498,0.012092446224157557,0.012983794982156424,0.012435272669541737,0.10996565929487967,0.113946456645902,0.11151355374815089,303.5029597913498,314.4
44,5.162147452886299,291.78031385943495,0.016162777737747526,0.011445468756347598,0.014348428129516784,0.12713291366812737,0.10698349758886927,0.11978492446679918,291.78031385943495,320.76
45,10.419204845822462,304.18131873349887,0.010004560919846334,0.00922660838661728,0.009705348407065929,0.10002280199957575,0.09605523612285423,0.09851572669917188,304.18131873349887,319.2
46,7.813519838517693,306.91063516800386,0.0107682244202093,0.007493865130594338,0.009508855462665085,0.10377005550836571,0.08656711344728053,0.09751336043161002,306.91063516800386,327.12
47,6.835933937750696,307.4524498895281,0.012011393508847706,0.008354556573378323,0.010604917764436405,0.10959650317801069,0.09140326347225422,0.10298018141582585,307.4524498895281,330.6
48,10.442788159550078,317.4322648236384,0.015845124708941116,0.011523316348778817,0.014182890724263307,0.12587741937671393,0.1073467109360078,0.11909194231459704,317.4322648236384,333.12
49,16.455481304288373,308.5848289691649,0.011136220357426611,0.013643832887579893,0.012100686715177871,0.1055282917393559,0.11680681866903102,0.11000312138834002,308.5848289691649,318.24
50,10.772213876005978,316.7003064950269,0.015351787936937821,0.01068230862532805,0.013555834355549443,0.1239023322497919,0.10335525446404768,0.11642952527408777,316.7003064950269,331.8
51,13.688255654266918,323.6750167116578,0.023117671803605078,0.018330724438973246,0.021276538201823604,0.1520449663869379,0.13539100575360702,0.1458647942507842,323.6750167116578,335.88
52,8.1371214232294,309.65799402192425,0.01145688139949094,0.00797618053054206,0.010118150296049065,0.10703682263357288,0.08930946495496465,0.10058901677643074,309.65799402192425,329.28
53,14.336423092040347,308.7916671136638,0.010708527950519988,0.011628777661178329,0.011062470146927043,0.10348201752246614,0.10783681032550216,0.10517827792337657,308.7916671136638,319.92
54,14.918998689136268,309.961591572547,0.011214476931528,0.011787907052422247,0.011435026978025788,0.1058984274270775,0.10857212834066692,0.10693468557033207,309.961591572547,320.64
55,7.561058174469889,301.00156778613587,0.010783077122007177,0.008054378644314375,0.009733577707509943,0.10384159629939814,0.08974619013815782,0.09865889573429222,301.00156778613587,321.48
56,19.59300418967176,305.1466352433714,0.014512973635577152,0.01525019180375429,0.01479651908487605,0.12046980383306495,0.12349166694054417,0.12164094329162385,305.1466352433714,313.2
57,8.031249614044338,308.6986882834517,0.011155991788081947,0.0077467653204502706,0.009844750838992842,0.10562192853797903,0.08801571064560162,0.09922071779115912,308.6986882834517,328.56
58,11.926445040942045,306.35558394288364,0.010045429160212572,0.00998037073205978,0.010020406687846112,0.10022688840931146,0.09990180544945011,0.10010198143816192,306.35558394288364,319.56
59,8.064914991742478,301.5535965060199,0.010527340084875972,0.008131357185525375,0.009605808200510359,0.10260282688540298,0.09017403831217373,0.09800922507861369,301.5535965060199,320.88
60,10.134476086763044,307.5958446911467,0.010284291255046464,0.007864986961620404,0.00935378960372875,0.10141149468894768,0.08868476172161936,0.09671499161830471,307.5958446911467,323.28
61,23.00723712282835,305.80589711259734,0.01594952435402649,0.016364008112596848,0.016108941184245853,0.12629142628866968,0.12792188285276623,0.12692100371587775,305.80589711259734,312.6
62,6.380424389012076,303.4810414606691,0.011811137129530804,0.008133637884923241,0.010396714343143282,0.1086790556157478,0.09018668352325215,0.10196427974120781,303.4810414606691,327.96
63,7.559519023518489,301.0620010749558,0.010770693274172422,0.00803529764925905,0.009718618033821125,0.10378195061845977,0.08963982178283851,0.09858305145318401,301.0620010749558,321.6
64,18.11688441948313,311.24306159598393,0.012247704168087337,0.014329480371662017,0.013048387323308366,0.11066934610851976,0.11970580759370875,0.11422953787575421,311.24306159598393,320.03999999999996
65,19.897513652042008,311.7433627704624,0.012825268873548798,0.015557756179570503,0.013876225529710991,0.11324870362855725,0.12473073470308152,0.11779739186293978,311.7433627704624,319.8
66,11.479128855676645,304.358672631174,0.01015195214478135,0.010289464742948179,0.010204841605614745,0.10075689626413346,0.10143699888575262,0.10101901605942687,304.358672631174,318.0
67,10.122162354641892,321.3293531451136,0.019531207749300283,0.015835134286273134,0.01810964103275138,0.13975409743295644,0.12583772997902154,0.13457206631671886,321.3293531451136,337.68
68,6.654893787286348,305.7513024893021,0.011782193595513824,0.00814297442160182,0.010382493913239978,0.10854581334862172,0.09023843095711394,0.10189452347030226,305.7513024893021,329.4
69,11.227468381613576,317.33286471838335,0.015997357695429083,0.011038808207965416,0.014090223277173826,0.1264806613495877,0.10506573279602353,0.11870224630213964,317.33286471838335,331.92
70,19.47696741054337,304.9574967703727,0.014592516945408748,0.015178124018759754,0.014817750435159137,0.1207994906670088,0.12319952929601538,0.12172818258381721,304.9574967703727,312.96
71,20.258851453916925,305.2294503764495,0.014865916587818162,0.015469735754824698,0.015098154728974524,0.12192586513048888,0.12437739245869683,0.12287454874372693,305.2294503764495,312.96
72,6.563347864867305,297.9890277041755,0.012118510780900526,0.00878118419699929,0.010834923633246204,0.11008410775811614,0.09370797296388013,0.10409093924663282,297.9890277041755,321.36
73,10.735296200346022,303.94142892626104,0.010087530262044184,0.009665208761761194,0.009925098915781496,0.10043669778544187,0.09831179360463929,0.09962479066869599,303.94142892626104,318.48
74,17.948279083658193,304.93212282030953,0.013576281568631186,0.014648947525089249,0.013988845398038133,0.11651730158491994,0.1210328365572304,0.11827444947256416,304.93212282030953,313.68
75,14.463038086300136,303.59542277224745,0.012079121979535406,0.01301681007149095,0.012439771245672155,0.10990505893513458,0.11409123573478792,0.11153372245949722,303.59542277224745,314.4
76,7.609550330342647,308.2746229785475,0.011329814982589694,0.00789591815645838,0.010009085434077646,0.10644160362654113,0.08885897904240392,0.10004541685693376,308.2746229785475,329.15999999999997
77,24.374271121119925,313.50785921146246,0.01479589230300221,0.017873649172452526,0.015979644945098483,0.12163836690371262,0.13369236766716538,0.12641062038095724,313.50785921146246,320.15999999999997
78,10.706528509619016,305.8670400530134,0.009955960452489448,0.008866784418146895,0.009537046593126928,0.09977955929191834,0.09416360453034332,0.09765780354445275,305.8670400530134,320.64
79,4.25476853289252,285.83173114439904,0.021039910864313713,0.014961020828463071,0.01870187623514039,0.14505140766057292,0.12231525182275133,0.13675480333480206,285.83173114439904,320.03999999999996
80,10.09067343728338,302.87619824534545,0.010237155229594553,0.0094339890620946,0.009928245165171493,0.10117882797104616,0.09712872418648667,0.09964057991185866,302.87619824534545,318.36
81,6.970562305891462,307.4523431944277,0.011799335684026059,0.008213015018160416,0.010419981581770044,0.10862474710684512,0.09062568630449326,0.1020783110252616,307.4523431944277,330.12
82,9.092812559028367,309.6335772574384,0.011090368512377782,0.007600616038082095,0.009748156022264056,0.10531081859133838,0.08718151201993514,0.09873275050490621,309.6335772574384,327.24
83,11.535352081486643,304.1584328430271,0.010216671173129032,0.010428770363269111,0.010298247784721371,0.10107755029248103,0.10212135116257086,0.10148028273867477,304.1584328430271,317.76
84,5.5376579310204255,300.30635547715116,0.013437582568576219,0.009130427171483971,0.011780984338925354,0.11592058733709133,0.09555326876399348,0.10854024294668478,300.30635547715116,328.2
85,10.177820257125308,320.15263797813043,0.01827755174988109,0.014495609121061629,0.016822958431104377,0.13519449600439024,0.12039771227503299,0.1297033478022228,320.15263797813043,336.36
86,20.559018288981164,312.30496915990545,0.013279450623498404,0.015881023587303318,0.014280055609577218,0.11523649866035675,0.12601993329352035,0.11949918664818275,312.30496915990545,320.15999999999997
87,14.463034731944274,303.59542270237847,0.01207911955614244,0.013016808083401171,0.012439768989703491,0.10990504791019583,0.11409122702206849,0.11153371234610408,303.59542270237847,314.4
88,10.797280184392903,316.8972351486185,0.015510281702740204,0.010844937672277058,0.013715918614100535,0.1245402814463666,0.10413903049422468,0.11711498031464862,316.8972351486185,332.03999999999996
89,9.367024819460852,304.45996118431856,0.009982120203378075,0.00810682363042937,0.009260852290705494,0.09991056102023486,0.09003790107743166,0.0962333221431407,304.45996118431856,321.24
90,37.74065247813271,294.81566122872323,0.03674076144276645,0.020452761249472363,0.030476145983807188,0.19167879758274375,0.14301315061725045,0.17457418475767597,294.81566122872323,298.8
91,10.482148113570432,304.35954641314527,0.009987248312126069,0.009220161582342288,0.009692214954516923,0.09993622122196771,0.09602167246170153,0.09844904750436605,304.35954641314527,319.32
92,11.838118431865562,307.0609789142364,0.01011560829463054,0.009611017223169625,0.009921534805607111,0.10057638040131758,0.09803579562164845,0.09960690139547114,307.0609789142364,320.4
93,14.992534901438319,308.3779516153489,0.010726476223745918,0.012420451736912353,0.01137800526727147,0.1035687029162088,0.11144708043242925,0.10666773301833817,308.3779516153489,318.96
94,11.895173134092342,307.33661239210096,0.010167769274259717,0.009567477892218837,0.009936887973474763,0.10083535726251838,0.09781348522682767,0.09968394039901694,307.33661239210096,320.64
95,12.280554539434185,304.75253407775205,0.010281958108288965,0.010966367812353264,0.010545192609852158,0.1013999906720359,0.10472042691067136,0.10268978824523965,304.75253407775205,317.52
96,18.456142890676173,311.37182247888705,0.01237117167587946,0.014568268687317042,0.013216208987970839,0.11122576893813528,0.12069908320827065,0.11496177185469454,311.37182247888705,320.03999999999996
97,21.516153124390986,305.61721277778975,0.01530451522995933,0.015921048239533664,0.015541643310564842,0.12371141915748655,0.12617863622473363,0.12466612735849639,305.61721277778975,312.96
98,8.349665199731223,306.61180981283303,0.010422011124794864,0.007342001406920996,0.009237392002535684,0.10208825164922193,0.08568547955704628,0.09611135210023676,306.61180981283303,325.56
99,5.641994659527885,293.71439908111273,0.014642336766488795,0.010462493546874504,0.013034704758944839,0.12100552370238639,0.10228633118298115,0.11416963150919267,293.71439908111273,320.52
100,12.56772845685688,305.9633035896165,0.010148487699139619,0.01081763695972285,0.01040585279936394,0.10073970269531084,0.10400786970091662,0.10200908194550101,305.9633035896165,318.48
101,7.967323518489152,310.7923895497263,0.012090220774252997,0.00854113052845182,0.010725186064329467,0.10995553998891096,0.09241823699060603,0.10356247420919155,310.7923895497263,330.84000000000003
102,5.574043125339854,297.32029970601684,0.013536839743706803,0.009364548795530734,0.011932112455946775,0.1163479253949412,0.09677059881767154,0.10923420918350979,297.32029970601684,324.72
103,13.184332597914283,307.92116150297863,0.010367966274913864,0.010739172201970886,0.01051073778532041,0.10182321088491496,0.10362997733267573,0.10252188929843427,307.92116150297863,319.92
104,17.68282624409713,304.715044347241,0.013564006809300682,0.014526376269623007,0.013934148909424654,0.11646461612567434,0.12052541752519676,0.11804299602019873,304.715044347241,313.56
105,7.818135068000047,301.39770954827475,0.010618086385282386,0.008044940450623253,0.00962841487195195,0.10304409922592553,0.08969359202653918,0.09812448660732931,301.39770954827475,321.24
106,15.561387507413798,304.1039157100197,0.012500335630985078,0.013573936328937785,0.012913258976351502,0.11180489985231004,0.11650723723845564,0.11363652131401904,304.1039157100197,314.15999999999997
107,12.650300825413542,322.2671101827512,0.021084528797557227,0.01642112438571282,0.01929091171607861,0.14520512662284768,0.12814493507631436,0.1388917265933382,322.2671101827512,335.4
108,12.15743259973614,305.90714210339877,0.010074372292775205,0.010404564950112553,0.010201369468674183,0.1003711726183131,0.10200276932570289,0.10100182903628123,305.90714210339877,318.84000000000003
109,14.19415075083987,307.67604977993295,0.010483277967447111,0.011873109712540908,0.011017828638637032,0.10238787998316554,0.1089638000096404,0.10496584510514376,307.67604977993295,318.84000000000003
110,7.381519643268443,301.33847757537245,0.01079466756325812,0.007905748658264527,0.009683544907491352,0.10389738958827657,0.08891427702154771,0.09840500448397607,301.33847757537245,322.32
111,6.4628099475289105,298.0508698918841,0.012169444314722196,0.008755543929201073,0.01085640570490638,0.11031520436785763,0.09357106352500795,0.10419407711048828,298.0508698918841,321.84000000000003
112,11.020466290914875,305.0229281055076,0.009973723222753538,0.009526847378056546,0.00980184789787008,0.09986852969155768,0.09760557042534276,0.09900428221986197,305.0229281055076,319.32
113,27.871136384427444,331.08365006101747,0.039110693960142606,0.0356667148104829,0.03778608659488887,0.19776423832468448,0.18885633378439523,0.19438643624206106,331.08365006101747,337.2
114,7.469490840174749,303.3592036119046,0.010573878779677429,0.007543876128562296,0.009408493144633146,0.10282936730174619,0.08685548991608012,0.09699738730828344,303.3592036119046,324.24
115,7.132287534376423,300.7316715844061,0.011036839938629014,0.00801921760276383,0.009876215963296252,0.1050563655312186,0.08955008432583317,0.09937915255875476,300.7316715844061,322.44
116,12.433814401560507,305.813046644335,0.010133077532957552,0.01073332948571869,0.010363943668634912,0.10066318856939488,0.10360178321688623,0.10180345607411818,305.813046644335,318.48
117,11.893801029622805,307.33429727172927,0.01016726619619525,0.00956688162882329,0.009936349054898343,0.10083286267975958,0.0978104372182401,0.09968123722596116,307.33429727172927,320.64
118,9.347964336959317,323.10694233478534,0.022064227942695858,0.017823437925350866,0.02043315485910163,0.1485403242984741,0.13350444908448134,0.1429445866729539,323.10694233478534,340.92
119,9.678343025023459,304.8056569148335,0.009953210755513659,0.008257199908114262,0.009300898891129276,0.09976577948131142,0.09086913616907702,0.09644116803071848,304.8056569148335,321.0
120,7.551141028145702,300.05422674782994,0.011033074014019503,0.00837303336611304,0.010009981457132404,0.10503844064921901,0.09150428058901419,0.10004989483818763,300.05422674782994,320.52
121,5.431252961817505,295.4121515932817,0.01427059667734698,0.009949521214186883,0.012608644576131561,0.11945960270044004,0.09974728675100332,0.11228822100350314,295.4121515932817,323.28
122,6.733500600418323,305.3150677487021,0.011549551706657208,0.007987541019131317,0.010179547596070326,0.1074688406313998,0.08937304414157167,0.10089374408787855,305.3150677487021,328.68
123,6.418112169734664,301.0821596306833,0.01165905210640304,0.008130725864871052,0.01030200355196766,0.10797709065539338,0.09017053767651079,0.10149878596302352,301.0821596306833,325.2
