temperature,rg_pred_median,rg_pred_lo,rg_pred_hi,rg_target,rg_lower,rg_upper,units
240,1.2812239,1.243003,1.2886626,1.341,1.248,1.513,observed
250,1.2753277,1.2269904,1.2885043,1.352,1.178,1.446,observed
260,1.2655415,1.2066297,1.2876822,1.457,1.387,1.56,observed
270,1.2509127,1.180794,1.2855249,1.354,1.274,1.388,observed
280,1.2276851,1.1479583,1.2788762,1.271,1.13,1.327,observed
290,1.1885181,1.105992,1.2656233,1.187,1.13,1.231,observed
298,1.1434258,1.0528515,1.2374099,1.066,0.939,1.187,observed
310,1.0174868,0.94212957,1.1784523,0.944,0.892,0.985,observed
320,0.85360349,0.60173088,1.0977965,0.835,0.805,0.853,observed
330,0.69949258,0.569022,0.97643405,0.769,0.731,0.827,observed
340,0.6218727,0.56371673,0.78064537,0.708,0.688,0.739,observed
350,0.58691179,0.56156285,0.68381413,0.717,0.689,0.737,observed
360,0.57564431,0.56053817,0.63031881,0.705,0.695,0.715,observed
