restart_index,success,objective,n_iter,A,Tc,message
0,True,0.0099336347,9,10.222075,305.08715,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1,True,0.020681478,11,132.05467,309.27657,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2,True,0.12896635,0,44.079771,930.01534,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
3,True,0.12896635,0,35.189421,4062.3516,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
4,True,0.12896635,0,184.66977,1390.1062,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
5,True,0.12896635,0,163.95271,4450.5645,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
6,True,0.12896635,0,102.59896,1232.3734,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
7,True,0.12896635,0,164.85008,1076.6772,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,True,0.12896635,0,148.296,3153.4016,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
9,True,0.12896635,0,185.48218,1167.2219,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
10,True,0.12896635,0,159.82703,2595.6435,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
11,True,0.12896635,0,46.318809,837.86093,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,True,0.12896635,0,99.562816,2917.796,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
13,True,0.32559805,0,36.875754,84.325635,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
14,True,0.12896635,0,94.231934,3643.9342,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
15,True,0.12896635,0,183.72091,3131.4147,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
16,True,0.12896635,0,183.42534,4324.8044,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
17,True,0.12896635,0,43.636393,4331.9759,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
18,True,0.12896635,0,146.15308,1396.5478,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
19,True,0.12896635,0,159.41074,4327.4563,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
20,True,0.12896635,0,59.894585,2639.94,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
21,True,0.12896635,0,14.306646,2920.3597,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
22,True,0.12896635,0,47.588901,3827.1686,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
23,True,0.12896635,0,34.734591,1570.5839,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
24,True,0.0099331606,30,10.308164,305.15687,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
25,True,0.12896635,0,99.345401,2346.8795,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
26,True,0.12896635,0,25.546788,1295.2369,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
27,True,0.07563892,4,0.014088862,1911.5278,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
28,True,0.12896635,0,115.17886,2142.2209,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
29,True,0.12896635,0,167.02212,3086.2913,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
30,True,0.12896635,0,53.224122,4057.0003,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
31,True,0.12896635,0,99.902355,3796.4635,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
