scheme,split,A,Tc,train_objective,validation_objective,train_rmse,validation_rmse,all_rmse,train_mae,validation_mae,T_bias_zero,T_rg_max_slope,boundary_hits,optimizer_success,train_indices,validation_indices
every_third_phase,every_third_phase0,10.308163858164116,305.1568736197102,0.009933160559832697,0.008727365015106016,0.09966524248619825,0.09342036723919478,0.09731080640211615,0.08120932061708844,0.08953292054027281,305.1568736197102,320.4,,True,1 2 4 5 7 8 10 11,0 3 6 9 12
every_third_phase,every_third_phase1,9.24406728307987,306.35659467362404,0.010699438386840713,0.005648571094280235,0.10343808963259478,0.07515697635136898,0.09563119456403953,0.08786567755586253,0.07416355443644779,306.35659467362404,323.4,,True,0 2 3 5 6 8 9 11 12,1 4 7 10
every_third_phase,every_third_phase2,8.172330452271746,305.28449109938447,0.006504945782164953,0.015170212159347812,0.08065324408952781,0.12316741516873614,0.09576628629391926,0.07231145466301961,0.10285369423998536,305.28449109938447,324.48,,True,0 1 3 4 6 7 9 10 12,2 5 8 11
kfold,kfold5_fold0,9.398861897187361,305.02689453297165,0.010877925809441696,0.0036212197786056424,0.1042972953122069,0.060176571675409046,0.09593383835116377,0.09316854042156135,0.053747494123277915,305.02689453297165,321.72,,True,1 2 3 4 6 7 8 9 11 12,0 5 10
kfold,kfold5_fold1,9.831606356267764,306.5481432406787,0.009289528411038,0.009063507346287374,0.0963821996586403,0.09520245451818653,0.09611123609541111,0.08223865026864842,0.09225918687001755,306.5481432406787,322.68,,True,0 2 3 4 5 7 8 9 10 12,1 6 11
kfold,kfold5_fold2,8.6552985608005,306.1987628861335,0.00549820086903167,0.021281962744930324,0.07414985414032634,0.14588338748785046,0.09560652412768449,0.06586271969297733,0.13729551994101089,306.1987628861335,324.48,,True,0 1 3 4 5 6 8 9 10 11,2 7 12
kfold,kfold5_fold3,7.837624843401395,306.3224406428976,0.008804006581488654,0.012626976570615747,0.09382966791739515,0.11236982055078555,0.09691313538723803,0.07892030649817998,0.11127300309295657,306.3224406428976,326.52,,True,0 1 2 4 5 6 7 9 10 11 12,3 8
kfold,kfold5_fold4,9.174066122434533,304.2355817222908,0.010276752901907769,0.0035746107834099374,0.10137432072230013,0.05978804883427739,0.09615432447085552,0.08829108518779044,0.0595589167012921,304.2355817222908,321.36,,True,0 1 2 3 5 6 7 8 10 11 12,4 9
blocked_low,blocked_low,8.232154137113236,304.66838412472816,0.00961596961376234,0.006619108419560311,0.09806105044186678,0.08135790323969953,0.09568131502766654,0.08248571456798647,0.08069300208230723,304.66838412472816,323.76,,True,2 3 4 5 6 7 8 9 10 11 12,0 1
blocked_mid,blocked_mid,9.146468824620943,306.4804998342055,0.010394216759553682,0.002275127658421333,0.10195203165976478,0.047698298275948306,0.09563015282122184,0.09145274505211375,0.03912886791656078,306.4804998342055,323.76,,True,0 1 2 3 4 7 8 9 10 11 12,5 6
blocked_high,blocked_high,9.944550076919315,305.8293036485477,0.007998685280547483,0.016331228515728775,0.08943536929284455,0.12779369513293204,0.0963359486849894,0.07673280084910772,0.12779363864351095,305.8293036485477,321.72,,True,0 1 2 3 4 5 6 7 8 9 10,11 12
random,random0,8.284938633820996,307.467021394692,0.009754916094442583,0.007450752925388309,0.0987669787653879,0.08631774397763364,0.09695581185802951,0.08411917210055617,0.08475023023735562,307.467021394692,326.64,,True,1 2 3 4 5 6 7 9 10 11 12,0 8
random,random1,9.396934981168167,305.45910232449745,0.00908733938526744,0.00963788024699533,0.09532753739223226,0.09817270622222518,0.09577075743346411,0.08228728146017858,0.09382992394804851,305.45910232449745,322.2,,True,1 2 3 4 5 6 7 8 9 10 12,0 11
random,random2,6.979008141265773,301.722970009573,0.005013167952658873,0.036029139438636844,0.07080372838105965,0.18981343324073996,0.09891843040393715,0.06328763293816887,0.1855229540962039,301.722970009573,324.0,,True,0 1 4 5 6 7 8 9 10 11 12,2 3
random,random3,7.230886836721999,302.2965780320461,0.006133808377012292,0.02861260360188614,0.07831863365133672,0.1691526044785777,0.09793918809881172,0.06824553807400911,0.15538459140091154,302.2965780320461,323.88,,True,0 1 3 5 6 7 8 9 10 11 12,2 4
random,random4,9.124783342377519,305.4220757075125,0.009382688659581294,0.007753189626850508,0.09686427958531098,0.08805219830788161,0.09556148021404667,0.0861890859185555,0.07002959329632347,305.4220757075125,322.68,,True,0 1 2 3 4 6 7 8 9 10 11,5 12
