temp_index,temperature,split,rg_target_input,rg_lower_input,rg_upper_input,rg_target_units,rg_target_lattice,rg_target_observed,rg_pred_lattice,rg_pred_observed,residual_target_units,absolute_error_target_units,squared_error_target_units,objective_contribution,inside_input_range,b_T
0,240,train,1.341,1.248,1.513,observed,3.8869565,1.341,3.56322,1.425194,0.084193974,0.084193974,0.0070886253,0.0070886253,True,1.0881148
1,250,train,1.352,1.178,1.446,observed,3.9188406,1.352,3.4983547,1.3992496,0.0472496,0.0472496,0.0022325247,0.0022325247,True,0.80177533
2,260,train,1.457,1.387,1.56,observed,4.2231884,1.457,3.413094,1.3651476,-0.091852438,0.091852438,0.0084368703,0.0084368703,False,0.53746201
3,270,train,1.354,1.274,1.388,observed,3.9246377,1.354,3.30057,1.3201409,-0.03385907,0.03385907,0.0011464366,0.0011464366,True,0.29272746
4,280,train,1.271,1.13,1.327,observed,3.684058,1.271,3.1506429,1.260174,-0.010825973,0.010825973,0.00011720169,0.00011720169,True,0.065473949
5,290,train,1.187,1.13,1.231,observed,3.4405797,1.187,2.9491965,1.1796008,-0.0073992158,0.0073992158,5.4748395e-05,5.4748395e-05,True,-0.14610691
6,298,train,1.066,0.939,1.187,observed,3.0898551,1.066,2.7422143,1.0968134,0.030813364,0.030813364,0.00094946341,0.00094946341,True,-0.30514755
7,310,train,0.944,0.892,0.985,observed,2.7362319,0.944,2.3741141,0.949583,0.0055830007,0.0055830007,3.1169897e-05,3.1169897e-05,True,-0.52831748
8,320,train,0.835,0.805,0.853,observed,2.4202899,0.835,2.0923557,0.83688708,0.0018870754,0.0018870754,3.5610534e-06,3.5610534e-06,True,-0.70150665
9,330,train,0.769,0.731,0.827,observed,2.2289855,0.769,1.9006952,0.76022793,-0.0087720704,0.0087720704,7.694922e-05,7.694922e-05,True,-0.86419951
10,340,train,0.708,0.688,0.739,observed,2.0521739,0.708,1.791657,0.71661552,0.0086155189,0.0086155189,7.4227167e-05,7.4227167e-05,True,-1.0173222
11,350,train,0.717,0.689,0.737,observed,2.0782609,0.717,1.7324674,0.69294127,-0.024058729,0.024058729,0.00057882246,0.00057882246,True,-1.161695
12,360,train,0.705,0.695,0.715,observed,2.0434783,0.705,1.6995177,0.67976224,-0.025237757,0.025237757,0.00063694438,0.00063694438,False,-1.2980471
