temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,280.0,pivot,5998,4256,3611,0.709570,0.854068,0.602034,4228,0.704902
0,280.0,crankshaft,6033,3763,3418,0.623736,0.908318,0.566551,3763,0.623736
0,280.0,end,5969,3874,3568,0.649020,0.921012,0.597755,3874,0.649020
1,280.2005,pivot,5944,4205,3572,0.707436,0.855979,0.600942,4173,0.702052
1,280.2005,crankshaft,6048,3721,3385,0.615245,0.909702,0.559689,3721,0.615245
1,280.2005,end,6008,3881,3552,0.645972,0.915228,0.591212,3881,0.645972
2,302.4,pivot,6137,4312,3844,0.702623,0.897921,0.626365,4281,0.697572
2,302.4,crankshaft,5942,3502,3297,0.589364,0.941462,0.554864,3502,0.589364
2,302.4,end,5921,3773,3552,0.637223,0.941426,0.599899,3773,0.637223
3,328.6957,pivot,5952,4096,3887,0.688172,0.957625,0.653058,4059,0.681956
3,328.6957,crankshaft,5979,3373,3306,0.564141,0.980136,0.552935,3373,0.564141
3,328.6957,end,6069,3857,3795,0.635525,0.983925,0.625309,3857,0.635525
4,360.0,pivot,5920,3883,3682,0.655912,0.957109,0.621959,3847,0.649831
4,360.0,crankshaft,6049,3178,3110,0.525376,0.978603,0.514135,3178,0.525376
4,360.0,end,6031,3808,3739,0.631404,0.981880,0.619964,3808,0.631404
