temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,0.0,pivot,100273,67160,66594,0.669772,1.000000,0.664127,66594,0.664127
0,0.0,crankshaft,99820,53714,53714,0.538109,1.000000,0.538109,53714,0.538109
0,0.0,end,99907,62907,62907,0.629656,1.000000,0.629656,62907,0.629656
1,0.2,pivot,100299,63864,55891,0.636736,0.882898,0.557244,63304,0.631153
1,0.2,crankshaft,100021,48753,45412,0.487428,0.931471,0.454025,48753,0.487428
1,0.2,end,99680,61295,57838,0.614918,0.943601,0.580237,61295,0.614918
2,0.35,pivot,100419,60866,46157,0.606120,0.765647,0.459644,60285,0.600335
2,0.35,crankshaft,100002,44809,38809,0.448081,0.866098,0.388082,44809,0.448081
2,0.35,end,99579,59365,53000,0.596160,0.892782,0.532241,59365,0.596160
3,0.45,pivot,99570,57606,38110,0.578548,0.667776,0.382746,57070,0.573165
3,0.45,crankshaft,100353,41138,33266,0.409933,0.808644,0.331490,41138,0.409933
3,0.45,end,100077,58187,49244,0.581422,0.846306,0.492061,58187,0.581422
4,0.55,pivot,99778,55097,30612,0.552196,0.561688,0.306801,54500,0.546213
4,0.55,crankshaft,100043,37014,27583,0.369981,0.745205,0.275711,37014,0.369981
4,0.55,end,100179,56213,44925,0.561126,0.799192,0.448447,56213,0.561126
5,0.65,pivot,100428,52051,22908,0.518292,0.444945,0.228104,51485,0.512656
5,0.65,crankshaft,99847,32886,22207,0.329364,0.675272,0.222410,32886,0.329364
5,0.65,end,99725,53581,39376,0.537288,0.734887,0.394846,53581,0.537288
6,0.75,pivot,99995,49165,17099,0.491675,0.351650,0.170999,48625,0.486274
6,0.75,crankshaft,99754,29355,17642,0.294274,0.600988,0.176855,29355,0.294274
6,0.75,end,100251,51374,34623,0.512454,0.673940,0.345363,51374,0.512454
7,0.85,pivot,99921,47361,12889,0.473984,0.275695,0.128992,46751,0.467880
7,0.85,crankshaft,99889,26451,14293,0.264804,0.540358,0.143089,26451,0.264804
7,0.85,end,100190,49322,30066,0.492285,0.609586,0.300090,49322,0.492285
8,0.95,pivot,100014,45447,9594,0.454406,0.213741,0.095927,44886,0.448797
8,0.95,crankshaft,99769,23565,11364,0.236196,0.482241,0.113903,23565,0.236196
8,0.95,end,100217,48058,26457,0.479539,0.550522,0.263997,48058,0.479539
9,1.05,pivot,100004,43995,7195,0.439932,0.165619,0.071947,43443,0.434413
9,1.05,crankshaft,100267,20513,8672,0.204584,0.422756,0.086489,20513,0.204584
9,1.05,end,99729,45997,22743,0.461220,0.494445,0.228048,45997,0.461220
