walker,fraction_visited,n_visited,first_passage_low_to_high,first_passage_high_to_low,n_round_trips_low,n_round_trips_high,n_round_trips,mean_round_trip_duration
0,1.0,10,210,24,43,43,86,112.90697674418605
1,1.0,10,18,16,39,38,77,126.20779220779221
2,1.0,10,12,46,45,45,90,108.82222222222222
3,1.0,10,18,156,44,44,88,112.79545454545455
4,1.0,10,122,70,37,37,74,129.78378378378378
5,1.0,10,68,32,38,38,76,129.1315789473684
6,1.0,10,50,64,44,45,89,107.46067415730337
7,1.0,10,68,142,38,38,76,129.23684210526315
8,1.0,10,12,26,43,43,86,115.25581395348837
9,1.0,10,34,80,39,39,78,125.87179487179488
