walker,fraction_visited,occupancy_T0,occupancy_T1,occupancy_T2,occupancy_T3,occupancy_T4,occupancy_T5,occupancy_T6,occupancy_T7,occupancy_T8,occupancy_T9
0,1.0,544,527,535,489,461,445,475,507,515,502
1,1.0,502,473,451,463,487,471,509,510,542,592
2,1.0,528,482,522,548,544,510,504,470,440,452
3,1.0,464,485,449,474,498,536,502,526,544,522
4,1.0,490,516,530,552,522,502,474,492,484,438
5,1.0,666,596,622,554,470,440,428,396,414,414
6,1.0,424,444,416,450,504,534,532,553,557,586
7,1.0,398,428,480,482,528,528,524,546,546,540
8,1.0,536,569,531,503,483,513,525,487,445,408
9,1.0,448,480,464,485,503,521,527,513,513,546
