K,mean_contacts,var_contacts,mean_rg2,mean_ree2,mean_m_long,mean_m_global,mean_smax,mean_smax_over_N,mean_largest_component_fraction,tau_int_contacts,ess_contacts,dm_dK,neg_drg2_dK,dsmax_over_N_dK
0,4.9778,7.6710207,9.5976813,60.6456,0.194,0.468,3.261,0.1087,0.1087,1.3318313,1877.7652,10.399,6.7818711,0.1565
0.2,7.0576,12.266476,8.2413071,50.0332,0.455,0.988,4.2,0.14,0.14,1.5397014,1623.7083,12.343952,7.3286927,0.22211905
0.35,9.128,16.131554,7.0804858,41.1324,0.868,1.672,5.421,0.1807,0.1807,1.5344471,1631.2402,16.077467,7.7138169,0.32893333
0.45,10.8874,19.627673,6.3107702,35.1984,1.189,2.267,6.523,0.21743333,0.21743333,1.6132569,1551.2257,19.88,8.1940289,0.48183333
0.55,13.104,21.515425,5.44168,28.5408,1.858,3.35,8.312,0.27706667,0.27706667,1.9579339,1303.5641,21.844,8.3464933,0.612
0.65,15.2562,20.518321,4.6414716,22.2372,2.654,4.53,10.195,0.33983333,0.33983333,2.1839382,1144.9937,20.977,6.8700911,0.60933333
0.75,17.2994,18.014099,4.0676618,18.1568,3.245,5.396,11.968,0.39893333,0.39893333,2.9031349,871.38172,19.005,4.84762,0.60116667
0.85,19.0572,16.6653,3.6719476,14.6792,4.113,6.614,13.802,0.46006667,0.46006667,3.6253418,719.52441,16.835,3.5766089,0.5905
0.95,20.6664,13.668595,3.35234,12.29,4.743,7.293,15.511,0.51703333,0.51703333,4.2671435,617.90696,14.526,2.7715667,0.54016667
1.05,21.9624,10.928314,3.1176342,10.6744,5.365,8.273,17.043,0.5681,0.5681,5.3736266,466.16328,12.96,2.3470578,0.51066667
