temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,-0.4,pivot,99882,70680,60892,0.707635,0.868670,0.609639,70098,0.701808
0,-0.4,crankshaft,100249,60649,55436,0.604984,0.914046,0.552983,60649,0.604984
0,-0.4,end,99869,64499,59693,0.645836,0.925487,0.597713,64499,0.645836
1,-0.32,pivot,99636,70156,61811,0.704123,0.888293,0.620368,69584,0.698382
1,-0.32,crankshaft,100444,59575,55241,0.593117,0.927251,0.549968,59575,0.593117
1,-0.32,end,99920,64474,60438,0.645256,0.937401,0.604864,64474,0.645256
2,-0.24,pivot,100733,70316,63546,0.698043,0.911237,0.630836,69736,0.692286
2,-0.24,crankshaft,99752,58329,55033,0.584740,0.943493,0.551698,58329,0.584740
2,-0.24,end,99515,63751,60658,0.640617,0.951483,0.609536,63751,0.640617
3,-0.16,pivot,100156,68949,63874,0.688416,0.935061,0.637745,68310,0.682036
3,-0.16,crankshaft,99976,57171,54805,0.571847,0.958615,0.548182,57171,0.571847
3,-0.16,end,99868,63919,61773,0.640035,0.966426,0.618546,63919,0.640035
4,-0.08,pivot,99611,68145,65244,0.684111,0.965591,0.654988,67569,0.678329
4,-0.08,crankshaft,100754,56188,55006,0.557675,0.978963,0.545944,56188,0.557675
4,-0.08,end,99635,63166,62039,0.633974,0.982158,0.622663,63166,0.633974
5,0.0,pivot,100014,67175,66622,0.671656,1.000000,0.666127,66622,0.666127
5,0.0,crankshaft,100064,54237,54237,0.542023,1.000000,0.542023,54237,0.542023
5,0.0,end,99922,63114,63114,0.631633,1.000000,0.631633,63114,0.631633
6,0.08,pivot,100106,66267,63011,0.661968,0.958926,0.629443,65710,0.656404
6,0.08,crankshaft,99640,52388,51082,0.525773,0.975071,0.512666,52388,0.525773
6,0.08,end,100254,62619,61356,0.624604,0.979830,0.612006,62619,0.624604
7,0.14,pivot,99907,65331,59874,0.653918,0.925352,0.599297,64704,0.647642
7,0.14,crankshaft,100108,51162,48928,0.511068,0.956335,0.488752,51162,0.511068
7,0.14,end,99985,62168,59929,0.621773,0.963985,0.599380,62168,0.621773
8,0.2,pivot,100039,64002,56319,0.639770,0.887570,0.562970,63453,0.634283
8,0.2,crankshaft,100024,49555,46229,0.495431,0.932883,0.462179,49555,0.495431
8,0.2,end,99937,61377,57961,0.614157,0.944344,0.579975,61377,0.614157
9,0.25,pivot,100060,63348,53422,0.633100,0.851347,0.533900,62750,0.627124
9,0.25,crankshaft,99722,47941,43762,0.480746,0.912830,0.438840,47941,0.480746
9,0.25,end,100218,61380,57192,0.612465,0.931769,0.570676,61380,0.612465
10,0.3,pivot,99855,61700,49396,0.617896,0.808300,0.494677,61111,0.611997
10,0.3,crankshaft,100258,46588,41355,0.464681,0.887675,0.412486,46588,0.464681
10,0.3,end,99887,60312,55046,0.603802,0.912687,0.551083,60312,0.603802
11,0.35,pivot,99830,61092,46339,0.611960,0.765921,0.464179,60501,0.606040
11,0.35,crankshaft,100198,44877,38948,0.447883,0.867883,0.388710,44877,0.447883
11,0.35,end,99972,59770,53288,0.597867,0.891551,0.533029,59770,0.597867
12,0.4,pivot,100410,60020,42664,0.597749,0.718032,0.424898,59418,0.591754
12,0.4,crankshaft,99897,42879,35825,0.429232,0.835491,0.358619,42879,0.429232
12,0.4,end,99693,58582,51168,0.587624,0.873442,0.513256,58582,0.587624
13,0.45,pivot,100029,58101,38266,0.580842,0.665588,0.382549,57492,0.574753
13,0.45,crankshaft,100244,41251,33342,0.411506,0.808271,0.332608,41251,0.411506
13,0.45,end,99727,57943,49264,0.581016,0.850215,0.493989,57943,0.581016
14,0.5,pivot,100033,56574,34259,0.565553,0.612534,0.342477,55930,0.559115
14,0.5,crankshaft,100165,39211,30462,0.391464,0.776874,0.304118,39211,0.391464
14,0.5,end,99802,57051,46812,0.571642,0.820529,0.469049,57051,0.571642
15,0.55,pivot,100186,55549,30726,0.554459,0.559061,0.306690,54960,0.548580
15,0.55,crankshaft,99880,37341,27670,0.373859,0.741009,0.277032,37341,0.373859
15,0.55,end,99934,56405,44866,0.564423,0.795426,0.448956,56405,0.564423
16,0.6,pivot,99619,53334,26662,0.535380,0.505479,0.267640,52746,0.529477
16,0.6,crankshaft,100357,36280,25799,0.361509,0.711108,0.257072,36280,0.361509
16,0.6,end,100024,55254,42711,0.552407,0.772994,0.427008,55254,0.552407
