walker,fraction_visited,n_visited,first_passage_low_to_high,first_passage_high_to_low,n_round_trips_low,n_round_trips_high,n_round_trips,mean_round_trip_duration
0,1.0,17,41,41,46,45,91,107.14285714285714
1,1.0,17,211,97,44,44,88,109.31818181818181
2,1.0,17,21,57,49,49,98,101.3061224489796
3,1.0,17,37,31,46,46,92,105.67391304347827
4,1.0,17,151,23,44,43,87,110.32183908045977
5,1.0,17,45,43,47,46,93,106.55913978494624
6,1.0,17,57,59,50,50,100,96.66
7,1.0,17,47,31,43,43,86,114.81395348837209
8,1.0,17,35,53,42,42,84,115.52380952380952
9,1.0,17,17,31,41,42,83,118.79518072289157
10,1.0,17,21,17,47,47,94,104.51063829787235
11,1.0,17,43,183,40,41,81,119.38271604938272
12,1.0,17,17,161,42,41,83,118.55421686746988
13,1.0,17,39,45,46,47,93,104.86021505376344
14,1.0,17,57,55,41,41,82,120.26829268292683
15,1.0,17,17,29,47,47,94,103.80851063829788
16,1.0,17,33,36,41,41,82,121.0609756097561
