pair,T_lo,T_hi,proposals,acceptances,rate,K_lo,K_hi
0,nan,nan,2500,2235,0.8940,-0.4,-0.32
1,nan,nan,2500,2263,0.9052,-0.32,-0.24
2,nan,nan,2500,2228,0.8912,-0.24,-0.16
3,nan,nan,2500,2244,0.8976,-0.16,-0.08
4,nan,nan,2500,2231,0.8924,-0.08,-0.0
5,nan,nan,2500,2172,0.8688,-0.0,0.08
6,nan,nan,2500,2225,0.8900,0.08,0.14
7,nan,nan,2500,2211,0.8844,0.14,0.2
8,nan,nan,2500,2249,0.8996,0.2,0.25
9,nan,nan,2500,2219,0.8876,0.25,0.3
10,nan,nan,2500,2206,0.8824,0.3,0.35
11,nan,nan,2500,2226,0.8904,0.35,0.4
12,nan,nan,2500,2176,0.8704,0.4,0.45
13,nan,nan,2500,2189,0.8756,0.45,0.5
14,nan,nan,2500,2181,0.8724,0.5,0.55
15,nan,nan,2500,2174,0.8696,0.55,0.6
