K,mean_contacts,var_contacts,mean_rg2,mean_ree2,mean_m_long,mean_m_global,mean_smax,mean_smax_over_N,mean_largest_component_fraction,tau_int_contacts,ess_contacts,dm_dK,neg_drg2_dK,dsmax_over_N_dK
-0.4,2.7444,3.5974526,11.329642,73.7224,0.068,0.127,2.276,0.075866667,0.075866667,1.2772277,1959.1023,4.8175,4.6340278,0.060416667
-0.32,3.1298,4.1857375,10.95892,71.0212,0.084,0.173,2.421,0.0807,0.0807,1.11804,2236.0939,4.8525,3.4771722,0.06625
-0.24,3.5208,4.9403264,10.773295,70.2704,0.101,0.213,2.594,0.086466667,0.086466667,1.1769243,2135.1049,4.91,3.5681806,0.069791667
-0.16,3.9154,5.7813138,10.388011,66.5744,0.136,0.289,2.756,0.091866667,0.091866667,1.0852894,2304.0681,5.49125,4.704225,0.069791667
-0.08,4.3994,6.7090476,10.020619,64.382,0.147,0.322,2.929,0.097633333,0.097633333,1.1685893,2151.9603,7.10375,5.1471861,0.086041667
0,5.052,7.9195322,9.5644613,60.366,0.159,0.39,3.169,0.10563333,0.10563333,1.0790475,2317.0983,8.23375,5.7028194,0.11104167
0.08,5.7168,9.3929259,9.1081676,56.9824,0.279,0.604,3.462,0.1154,0.1154,1.1159696,2253.5835,9.0852381,6.3247865,0.14184524
0.14,6.2968,10.588466,8.7007302,53.3424,0.342,0.716,3.744,0.1248,0.1248,1.1081108,2260.857,10.24,6.5627556,0.18611111
0.2,6.9456,12.160915,8.3206369,49.9884,0.421,0.867,4.132,0.13773333,0.13773333,1.3350187,1873.1741,11.894788,6.3120816,0.20088889
0.25,7.5854,13.580193,8.0059831,48.0772,0.535,1.08,4.415,0.14716667,0.14716667,1.3283093,1887.864,14.094,7.7225511,0.28833333
0.3,8.355,14.976168,7.5483818,44.3892,0.686,1.366,4.997,0.16656667,0.16656667,1.1948889,2106.5762,14.356,7.9830089,0.25666667
0.35,9.021,16.270139,7.2076822,41.9476,0.751,1.513,5.185,0.17283333,0.17283333,1.3386672,1888.7839,15.51,7.4245067,0.25866667
0.4,9.906,17.949769,6.8059311,39.1956,0.994,1.9,5.773,0.19243333,0.19243333,1.3786901,1813.8017,18.222,8.3684933,0.45333333
0.45,10.8432,18.56931,6.3708329,35.764,1.251,2.323,6.545,0.21816667,0.21816667,1.4374023,1752.9864,20.162,9.5481467,0.48066667
0.5,11.9222,20.357652,5.8511164,31.3296,1.479,2.774,7.215,0.2405,0.2405,1.6970883,1481.7697,20.518,8.9485022,0.51
0.55,12.895,20.726771,5.4759827,28.384,1.722,3.174,8.075,0.26916667,0.26916667,1.8496825,1355.5823,19.924,7.3823022,0.571
0.6,13.9146,20.978514,5.1128862,25.7784,2.109,3.786,8.928,0.2976,0.2976,2.6442725,947.96069,20.392,7.2619289,0.56866667
