walker,fraction_visited,n_visited,first_passage_low_to_high,first_passage_high_to_low,n_round_trips_low,n_round_trips_high,n_round_trips,mean_round_trip_duration
0,1.0,13,19,13,134,135,269,55.46468401486989
1,1.0,13,13,13,136,135,271,55.03321033210332
2,1.0,13,13,13,133,133,266,56.13533834586466
3,1.0,13,37,105,131,130,261,57.14176245210728
4,1.0,13,13,43,123,124,247,60.340080971659916
5,1.0,13,17,15,137,137,274,54.45985401459854
6,1.0,13,17,13,133,134,267,55.63295880149813
7,1.0,13,13,25,130,130,260,57.42307692307692
8,1.0,13,33,13,147,147,294,50.76190476190476
9,1.0,13,65,37,130,129,259,57.49034749034749
10,1.0,13,33,15,128,128,256,58.1328125
11,1.0,13,39,13,128,129,257,58.10894941634241
12,1.0,13,93,12,144,144,288,51.920138888888886
