temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,0.4,pivot,149404,89437,63733,0.598625,0.719521,0.426582,88577,0.592869
0,0.4,crankshaft,150099,64874,54276,0.432208,0.836637,0.361601,64874,0.432208
0,0.4,end,150497,89012,77687,0.591454,0.872770,0.516203,89012,0.591454
1,0.45,pivot,149173,87013,57462,0.583303,0.667092,0.385204,86138,0.577437
1,0.45,crankshaft,150575,62545,50752,0.415374,0.811448,0.337055,62545,0.415374
1,0.45,end,150252,87609,74359,0.583080,0.848760,0.494895,87609,0.583080
2,0.5,pivot,150252,85366,52193,0.568152,0.617522,0.347370,84520,0.562522
2,0.5,crankshaft,149969,59227,46105,0.394928,0.778446,0.307430,59227,0.394928
2,0.5,end,149779,86168,70946,0.575301,0.823345,0.473671,86168,0.575301
3,0.53,pivot,149509,83888,48658,0.561090,0.585754,0.325452,83069,0.555612
3,0.53,crankshaft,150257,58084,44089,0.386564,0.759056,0.293424,58084,0.386564
3,0.53,end,150234,85527,69087,0.569292,0.807780,0.459863,85527,0.569292
4,0.55,pivot,149139,82790,45919,0.555120,0.560384,0.307894,81942,0.549434
4,0.55,crankshaft,150511,56130,41872,0.372930,0.745983,0.278199,56130,0.372930
4,0.55,end,150350,84901,67721,0.564689,0.797647,0.450422,84901,0.564689
5,0.57,pivot,149926,81989,43651,0.546863,0.538031,0.291150,81131,0.541140
5,0.57,crankshaft,150146,54607,39938,0.363693,0.731371,0.265994,54607,0.363693
5,0.57,end,149928,83688,65763,0.558188,0.785812,0.438631,83688,0.558188
6,0.59,pivot,150041,81360,41494,0.542252,0.515313,0.276551,80522,0.536667
6,0.59,crankshaft,149972,53646,38648,0.357707,0.720426,0.257701,53646,0.357707
6,0.59,end,149987,83449,64785,0.556375,0.776342,0.431937,83449,0.556375
7,0.6,pivot,149948,80290,40466,0.535452,0.509307,0.269867,79453,0.529870
7,0.6,crankshaft,150405,53105,37924,0.353080,0.714132,0.252146,53105,0.353080
7,0.6,end,149647,83052,63889,0.554986,0.769265,0.426931,83052,0.554986
8,0.61,pivot,149966,80480,39616,0.536655,0.497782,0.264167,79585,0.530687
8,0.61,crankshaft,150062,51966,36488,0.346297,0.702151,0.243153,51966,0.346297
8,0.61,end,149972,82188,62757,0.548022,0.763579,0.418458,82188,0.548022
9,0.63,pivot,149876,79253,37337,0.528790,0.476183,0.249119,78409,0.523159
9,0.63,crankshaft,149796,51022,35339,0.340610,0.692623,0.235914,51022,0.340610
9,0.63,end,150328,82125,62097,0.546305,0.756128,0.413077,82125,0.546305
10,0.66,pivot,149738,77898,34352,0.520229,0.445933,0.229414,77034,0.514459
10,0.66,crankshaft,149957,49502,33384,0.330108,0.674397,0.222624,49502,0.330108
10,0.66,end,150305,81127,59834,0.539749,0.737535,0.398084,81127,0.539749
11,0.7,pivot,150024,76282,30431,0.508465,0.403295,0.202841,75456,0.502960
11,0.7,crankshaft,149717,46725,29907,0.312089,0.640064,0.199757,46725,0.312089
11,0.7,end,150259,79492,56554,0.529033,0.711443,0.376377,79492,0.529033
12,0.75,pivot,150501,74856,26532,0.497379,0.358652,0.176291,73977,0.491538
12,0.75,crankshaft,149691,43985,26734,0.293839,0.607798,0.178595,43985,0.293839
12,0.75,end,149808,77359,52729,0.516388,0.681614,0.351977,77359,0.516388
