walker,fraction_visited,occupancy_T0,occupancy_T1,occupancy_T2,occupancy_T3,occupancy_T4,occupancy_T5,occupancy_T6,occupancy_T7,occupancy_T8,occupancy_T9,occupancy_T10,occupancy_T11,occupancy_T12
0,1.0,640,655,635,617,593,582,558,552,544,546,542,528,508
1,1.0,570,567,563,571,567,589,587,580,582,582,586,576,580
2,1.0,580,556,554,555,569,571,571,587,581,585,593,600,598
3,1.0,548,580,582,576,564,554,580,588,580,590,584,572,602
4,1.0,592,602,596,584,580,575,575,565,569,571,557,557,577
5,1.0,512,536,542,554,564,575,571,586,596,600,610,622,632
6,1.0,496,510,556,550,578,581,587,592,596,592,614,622,626
7,1.0,614,624,592,597,607,579,573,558,554,550,544,550,558
8,1.0,586,553,581,603,599,587,589,589,575,558,560,576,544
9,1.0,606,580,574,576,574,580,574,574,570,570,578,562,582
10,1.0,582,596,588,594,580,588,586,576,572,592,560,550,536
11,1.0,632,603,591,573,577,579,579,573,581,567,553,548,544
12,1.0,542,538,546,550,548,560,570,580,600,597,619,637,613
