K,mean_contacts,var_contacts,mean_rg2,mean_ree2,mean_m_long,mean_m_global,mean_smax,mean_smax_over_N,mean_largest_component_fraction,tau_int_contacts,ess_contacts,dm_dK,neg_drg2_dK,dsmax_over_N_dK
0.4,9.9082667,18.042373,6.7853425,38.7632,0.972,1.9306667,5.942,0.19806667,0.19806667,1.887242,1987.1724,20.733333,9.3913185,0.39866667
0.45,10.944933,19.311053,6.3157766,35.310133,1.2193333,2.3093333,6.54,0.218,0.218,1.5377527,2456.7849,19.109333,8.6290074,0.446
0.5,11.8192,20.078316,5.9224418,32.314133,1.5126667,2.8253333,7.28,0.24266667,0.24266667,1.4578406,2577.6397,20.934778,8.9388753,0.51046296
0.53,12.509333,20.906806,5.6349763,30.137867,1.6766667,3.0113333,7.7486667,0.25828889,0.25828889,1.262079,2971.3266,23.529778,8.9140109,0.44362963
0.55,12.986933,20.863265,5.465605,28.762933,1.756,3.166,7.984,0.26613333,0.26613333,1.141507,3288.5207,21.386667,8.5284963,0.67888889
0.57,13.3648,21.166537,5.2938364,27.264533,2.0026667,3.5386667,8.5633333,0.28544444,0.28544444,1.3107293,2880.8561,19.403333,7.4642444,0.62444444
0.59,13.763067,21.48249,5.1670353,26.436533,2.0406667,3.59,8.7333333,0.29111111,0.29111111,1.2907527,2916.3638,23.144444,7.1160395,1.2055556
0.6,14.010667,21.622389,5.091995,25.808,2.3106667,4.0053333,9.2333333,0.30777778,0.30777778,1.3347768,2814.3282,25.3,10.059541,0.93777778
0.61,14.269067,21.249537,4.9658444,24.800533,2.2686667,3.946,9.296,0.30986667,0.30986667,1.3133441,2865.7123,25.084444,10.370835,0.33074074
0.63,14.740533,21.530826,4.8481964,23.994667,2.4006667,4.1626667,9.6406667,0.32135556,0.32135556,1.3882408,2701.3977,23.344,6.7960395,0.61637037
0.66,15.430533,21.162942,4.6032015,22.08,2.5066667,4.3746667,10.252,0.34173333,0.34173333,1.9409216,1932.3733,21.797143,6.9551517,0.68791005
0.7,16.238267,20.806686,4.3896006,20.7064,2.97,5.0486667,11.091333,0.36971111,0.36971111,2.2797065,1645.8715,19.566963,5.4395521,0.67717284
0.75,17.177467,20.387958,4.1114024,18.713067,3.3173333,5.5626667,12.065333,0.40217778,0.40217778,3.2791442,1144.3214,18.784,5.5639644,0.64933333
