temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,300.0,pivot,1581,1032,947,0.652751,0.929342,0.598988,1019,0.644529
0,300.0,crankshaft,1612,779,747,0.483251,0.958922,0.463400,779,0.483251
0,300.0,end,1607,970,933,0.603609,0.961856,0.580585,970,0.603609
1,320.0,pivot,1576,984,841,0.624365,0.859918,0.533629,978,0.620558
1,320.0,crankshaft,1599,731,669,0.457161,0.915185,0.418386,731,0.457161
1,320.0,end,1625,986,929,0.606769,0.942191,0.571692,986,0.606769
2,340.0,pivot,1524,968,825,0.635171,0.862971,0.541339,956,0.627297
2,340.0,crankshaft,1701,778,710,0.457378,0.912596,0.417402,778,0.457378
2,340.0,end,1575,950,863,0.603175,0.908421,0.547937,950,0.603175
3,360.0,pivot,1623,1029,796,0.634011,0.781158,0.490450,1019,0.627850
3,360.0,crankshaft,1547,711,646,0.459599,0.908579,0.417582,711,0.459599
3,360.0,end,1630,957,876,0.587117,0.915361,0.537423,957,0.587117
