model,scheme,split,mapping,n_params,n_train,n_val,train_js_sum,train_js_mean,val_js_sum,val_js_mean,all_js_sum,all_js_mean,param_s0,param_a,param_c,param_s1
hs:boot_smoke,blocked_low,blocked_low,multiplicative,1,48,16,0.6664010497,0.0138833552,0.1872125267,0.01170078292,0.8536135764,0.01333771213,0.4608692836,,,
hs:boot_smoke,blocked_low,blocked_low,affine,2,48,16,0.6663939813,0.01388320794,0.187082426,0.01169265163,0.8534764073,0.01333556886,,0.4611019315,-0.0005827683447,
hs:boot_smoke,blocked_low,blocked_low,tlinear_scale,2,48,16,0.6663160286,0.01388158393,0.1882605881,0.01176628675,0.8545766166,0.01335275964,0.4607032467,,,0.0007328848065
hs:boot_smoke,blocked_mid,blocked_mid,multiplicative,1,48,16,0.672646424,0.01401346717,0.1811459013,0.01132161883,0.8537923253,0.01334050508,0.4619493136,,,
hs:boot_smoke,blocked_mid,blocked_mid,affine,2,48,16,0.6667955192,0.01389157332,0.1813820779,0.01133637987,0.8481775971,0.01325277495,,0.4681094745,-0.01468484654,
hs:boot_smoke,blocked_mid,blocked_mid,tlinear_scale,2,48,16,0.6693073391,0.0139439029,0.1812757248,0.0113297328,0.8505830639,0.01329036037,0.4621906924,,,-0.003547243389
hs:boot_smoke,blocked_high,blocked_high,multiplicative,1,48,16,0.567511479,0.01182315581,0.2866434584,0.01791521615,0.8541549374,0.0133461709,0.4622152435,,,
hs:boot_smoke,blocked_high,blocked_high,affine,2,48,16,0.5624445562,0.01171759492,0.2857508656,0.0178594291,0.8481954218,0.01325305347,,0.4682271031,-0.01631524734,
hs:boot_smoke,blocked_high,blocked_high,tlinear_scale,2,48,16,0.5638862734,0.0117476307,0.2930037849,0.01831273656,0.8568900584,0.01338890716,0.4614536087,,,-0.007275782763
hs:boot_smoke,every_third_phase,every_third_phase0,multiplicative,1,42,22,0.5567761784,0.01325657568,0.296566632,0.01348030145,0.8533428104,0.01333348141,0.4610713904,,,
hs:boot_smoke,every_third_phase,every_third_phase0,affine,2,42,22,0.5535468771,0.01317968755,0.2944084708,0.01338220322,0.8479553479,0.01324930231,,0.467411519,-0.01405118862,
hs:boot_smoke,every_third_phase,every_third_phase0,tlinear_scale,2,42,22,0.5550398473,0.01321523446,0.295491438,0.013431429,0.8505312852,0.01328955133,0.4619639286,,,-0.003645583341
hs:boot_smoke,every_third_phase,every_third_phase1,multiplicative,1,43,21,0.5786584418,0.01345717306,0.2746579743,0.01307895116,0.8533164161,0.013333069,0.4611437233,,,
hs:boot_smoke,every_third_phase,every_third_phase1,affine,2,43,21,0.5747458204,0.01336618187,0.2731881081,0.01300895753,0.8479339285,0.01324896763,,0.4674383295,-0.01392006682,
hs:boot_smoke,every_third_phase,every_third_phase1,tlinear_scale,2,43,21,0.5769131532,0.01341658496,0.2735976546,0.01302845974,0.8505108077,0.01328923137,0.46202416,,,-0.003253502601
hs:boot_smoke,every_third_phase,every_third_phase2,multiplicative,1,43,21,0.5711703951,0.01328303244,0.2821847109,0.01343736719,0.853355106,0.01333367353,0.4612430038,,,
hs:boot_smoke,every_third_phase,every_third_phase2,affine,2,43,21,0.5674782299,0.01319716814,0.2805043804,0.01335735145,0.8479826102,0.01324972829,,0.4670997327,-0.01246229202,
hs:boot_smoke,every_third_phase,every_third_phase2,tlinear_scale,2,43,21,0.5690016983,0.01323259763,0.2815356554,0.01340645978,0.8505373537,0.01328964615,0.4621320776,,,-0.003415377571
hs_quadratic:split_sens_run,blocked_low,blocked_low,multiplicative,1,48,16,0.6564826065,0.01367672097,0.1814823902,0.01134264939,0.8379649967,0.01309320307,0.4611463434,,,
hs_quadratic:split_sens_run,blocked_low,blocked_low,affine,2,48,16,0.6521769735,0.01358702028,0.182249881,0.01139061756,0.8344268545,0.0130379196,,0.4679929745,-0.01459682193,
hs_quadratic:split_sens_run,blocked_low,blocked_low,tlinear_scale,2,48,16,0.6541663718,0.01362846608,0.1833873489,0.01146170931,0.8375537207,0.01308677689,0.4622670855,,,-0.004248900051
hs_quadratic:split_sens_run,blocked_mid,blocked_mid,multiplicative,1,48,16,0.6520574027,0.01358452922,0.1861208203,0.01163255127,0.8381782231,0.01309653474,0.4608507645,,,
hs_quadratic:split_sens_run,blocked_mid,blocked_mid,affine,2,48,16,0.6519874566,0.01358307201,0.1861057765,0.01163161103,0.838093233,0.01309520677,,0.4613777663,-0.001441210445,
hs_quadratic:split_sens_run,blocked_mid,blocked_mid,tlinear_scale,2,48,16,0.6520210277,0.01358377141,0.1860246509,0.01162654068,0.8380456786,0.01309446373,0.4609029548,,,-0.0003371074722
hs_quadratic:split_sens_run,blocked_high,blocked_high,multiplicative,1,48,16,0.5730087231,0.01193768173,0.2681396692,0.01675872932,0.8411483923,0.01314294363,0.4630123182,,,
hs_quadratic:split_sens_run,blocked_high,blocked_high,affine,2,48,16,0.568764592,0.01184926233,0.2655038668,0.01659399167,0.8342684588,0.01303544467,,0.4677054293,-0.01401745437,
hs_quadratic:split_sens_run,blocked_high,blocked_high,tlinear_scale,2,48,16,0.5728451003,0.01193427292,0.2695521421,0.01684700888,0.8423972425,0.01316245691,0.4629675473,,,0.0007208429078
hs_quadratic:split_sens_run,every_third_phase,every_third_phase0,multiplicative,1,42,22,0.5488535937,0.01306794271,0.2891144468,0.01314156576,0.8379680405,0.01309325063,0.4610343495,,,
hs_quadratic:split_sens_run,every_third_phase,every_third_phase0,affine,2,42,22,0.548786736,0.01306635086,0.2891016904,0.01314098593,0.8378884264,0.01309200666,,0.461677188,-0.001737762346,
hs_quadratic:split_sens_run,every_third_phase,every_third_phase0,tlinear_scale,2,42,22,0.5481101484,0.01305024163,0.288654006,0.01312063664,0.8367641544,0.01307443991,0.4618458112,,,-0.002824073324
hs_quadratic:split_sens_run,every_third_phase,every_third_phase1,multiplicative,1,43,21,0.5663056005,0.01316989769,0.2716538861,0.01293589934,0.8379594866,0.01309311698,0.461071917,,,
hs_quadratic:split_sens_run,every_third_phase,every_third_phase1,affine,2,43,21,0.5662432361,0.01316844735,0.2716403113,0.01293525292,0.8378835474,0.01309193043,,0.461664667,-0.001650619701,
hs_quadratic:split_sens_run,every_third_phase,every_third_phase1,tlinear_scale,2,43,21,0.5655312791,0.01315189021,0.2712207791,0.01291527519,0.8367520581,0.01307425091,0.4618768134,,,-0.00263594153
hs_quadratic:split_sens_run,every_third_phase,every_third_phase2,multiplicative,1,43,21,0.5607356451,0.01304036384,0.2772331748,0.01320157975,0.8379688198,0.01309326281,0.4611548493,,,
hs_quadratic:split_sens_run,every_third_phase,every_third_phase2,affine,2,43,21,0.5607159157,0.01303990502,0.2771977803,0.0131998943,0.837913696,0.0130924015,,0.4614970937,-0.0009282983045,
hs_quadratic:split_sens_run,every_third_phase,every_third_phase2,tlinear_scale,2,43,21,0.5598321144,0.0130193515,0.2769400458,0.01318762123,0.8367721603,0.013074565,0.4619919687,,,-0.002733961598
