model,temp_index,temperature,x_T,s_opt,s_local_sigma,js_at_opt,obs_mean_rg,pred_mean_lat,production_scalar
hs:boot_smoke,0,280,-0.4794117187,0.4668720496,0.005428189315,0.01154670035,1.733019289,3.682716542,0.4632050331
hs:boot_smoke,1,281.119,-0.4654242187,0.4671641078,0.005595904538,0.01142321211,1.725435715,3.674757389,0.4632050331
hs:boot_smoke,2,282.243,-0.4513742188,0.4674842932,0.004341330672,0.01214671028,1.723958365,3.666735177,0.4632050331
hs:boot_smoke,3,283.371,-0.4372742188,0.4674665313,0.004662815761,0.01148435827,1.718107939,3.658656581,0.4632050331
hs:boot_smoke,4,284.504,-0.4231117187,0.4678847048,0.004439575753,0.01089706973,1.714823153,3.650513991,0.4632050331
hs:boot_smoke,5,285.641,-0.4088992187,0.4673233107,0.005192407609,0.01047876785,1.709950734,3.642314156,0.4632050331
hs:boot_smoke,6,286.783,-0.3946242187,0.4674731873,0.00399509909,0.01067497558,1.700945718,3.634049439,0.4632050331
hs:boot_smoke,7,287.929,-0.3802992188,0.4649757875,0.005633023198,0.01073817959,1.694348575,3.625726667,0.4632050331
hs:boot_smoke,8,289.08,-0.3659117188,0.4630164858,0.003762242067,0.01073605209,1.684967521,3.617338185,0.4632050331
hs:boot_smoke,9,290.235,-0.3514742187,0.4638415483,0.004436931133,0.01048259016,1.681340395,3.608890905,0.4632050331
hs:boot_smoke,10,291.395,-0.3369742188,0.4656415659,0.006016760724,0.01090013298,1.677782196,3.600377157,0.4632050331
hs:boot_smoke,11,292.56,-0.3224117187,0.4637893724,0.007195436236,0.01094648191,1.673136472,3.591796567,0.4632050331
hs:boot_smoke,12,293.729,-0.3077992188,0.4645302222,0.005298694061,0.01102167849,1.673847958,3.583156188,0.4632050331
hs:boot_smoke,13,294.903,-0.2931242187,0.4647331189,0.004876174777,0.01128325578,1.672470171,3.574448341,0.4632050331
hs:boot_smoke,14,296.082,-0.2783867188,0.4637767771,,0.01289042137,1.665708368,3.565672726,0.4632050331
hs:boot_smoke,15,297.266,-0.2635867187,0.4639389264,0.005602577455,0.01266804549,1.658451817,3.556829071,0.4632050331
hs:boot_smoke,16,298.454,-0.2487367187,0.4625035066,0.00414341218,0.01068191122,1.653061675,3.547924641,0.4632050331
hs:boot_smoke,17,299.647,-0.2338242188,0.4630334405,0.003146432291,0.0113180299,1.643980839,3.538951772,0.4632050331
hs:boot_smoke,18,300.845,-0.2188492187,0.4626297591,0.003657502781,0.0110321882,1.638402294,3.529910287,0.4632050331
hs:boot_smoke,19,302.047,-0.2038242187,0.4618740195,0.005329226421,0.01148362086,1.630285679,3.520807634,0.4632050331
hs:boot_smoke,20,303.254,-0.1887367187,0.460523438,0.005220703618,0.01158416404,1.620676398,3.511636178,0.4632050331
hs:boot_smoke,21,304.467,-0.1735742188,0.4602778689,0.004740284529,0.01060100974,1.611008911,3.502388221,0.4632050331
hs:boot_smoke,22,305.683,-0.1583742188,0.4595507156,0.004558520207,0.01068912468,1.602426652,3.493086655,0.4632050331
hs:boot_smoke,23,306.905,-0.1430992188,0.4605311068,0.005028292839,0.01026350367,1.606543165,3.4837086,0.4632050331
hs:boot_smoke,24,308.132,-0.1277617187,0.4600297539,0.0049442592,0.01102345599,1.604898091,3.474261765,0.4632050331
hs:boot_smoke,25,309.364,-0.1123617188,0.4631533879,0.002651224907,0.01089803691,1.602065165,3.464746274,0.4632050331
hs:boot_smoke,26,310.6,-0.09691171875,0.4618108024,0.004054718922,0.01198347152,1.604330587,3.455170064,0.4632050331
hs:boot_smoke,27,311.842,-0.08138671875,0.4636422202,0.007417128827,0.01166707293,1.595819553,3.445517867,0.4632050331
hs:boot_smoke,28,313.088,-0.06581171875,0.4608449723,0.004922197874,0.01236846183,1.583513669,3.435805511,0.4632050331
hs:boot_smoke,29,314.34,-0.05016171875,0.4595737119,0.004937479417,0.01148314691,1.573084148,3.426017749,0.4632050331
hs:boot_smoke,30,315.596,-0.03446171875,0.4602476435,0.003860207979,0.01167125731,1.567634268,3.416170621,0.4632050331
hs:boot_smoke,31,316.858,-0.01868671875,0.4603948372,0.003918841135,0.01140648203,1.563123336,3.40624891,0.4632050331
hs:boot_smoke,32,318.124,-0.00286171875,0.4604496309,0.003972737819,0.01113394878,1.558760215,3.396268871,0.4632050331
hs:boot_smoke,33,319.396,0.01303828125,0.4604496251,0.004267450019,0.01126397688,1.560315683,3.386215334,0.4632050331
hs:boot_smoke,34,320.672,0.02898828125,0.4621357697,0.003789003101,0.01104217575,1.557694134,3.37610477,0.4632050331
hs:boot_smoke,35,321.954,0.04501328125,0.4606872673,0.004790892064,0.01077200358,1.553315696,3.365922068,0.4632050331
hs:boot_smoke,36,323.241,0.06110078125,0.4610304029,0.004382929781,0.01084175926,1.545519978,3.355675948,0.4632050331
hs:boot_smoke,37,324.533,0.07725078125,0.460361884,0.003734719659,0.01023986959,1.545560569,3.345367294,0.4632050331
hs:boot_smoke,38,325.83,0.09346328125,0.4609149652,0.003788473108,0.01054837666,1.540479069,3.33499706,0.4632050331
hs:boot_smoke,39,327.132,0.1097382813,0.4607965908,0.003717690201,0.01174481116,1.543821294,3.324566282,0.4632050331
hs:boot_smoke,40,328.44,0.1260882813,0.4608232527,0.003692877725,0.01165027431,1.540026444,3.314068038,0.4632050331
hs:boot_smoke,41,329.753,0.1425007812,0.459905173,0.003995677301,0.01277240761,1.53721879,3.303511526,0.4632050331
hs:boot_smoke,42,331.071,0.1589757813,0.4607296151,0.003469879,0.01374582402,1.531412784,3.292898021,0.4632050331
hs:boot_smoke,43,332.394,0.1755132813,0.4612026378,0.003409872568,0.01412276868,1.52445492,3.282228879,0.4632050331
hs:boot_smoke,44,333.723,0.1921257813,0.4607083408,0.003737663964,0.01507637495,1.516123864,3.271497461,0.4632050331
hs:boot_smoke,45,335.057,0.2088007813,0.4610075871,0.003864801853,0.01473886881,1.51396796,3.260713349,0.4632050331
hs:boot_smoke,46,336.396,0.2255382813,0.466524439,0.004313574908,0.01501222308,1.510717638,3.249878153,0.4632050331
hs:boot_smoke,47,337.741,0.2423507812,0.4609269375,0.003156291705,0.01576116608,1.503180782,3.238985465,0.4632050331
hs:boot_smoke,48,339.091,0.2592257813,0.4667156492,0.005078196145,0.01556306199,1.499723677,3.228045152,0.4632050331
hs:boot_smoke,49,340.446,0.2761632813,0.4674580184,0.003392062268,0.0148083004,1.49532839,3.21705908,0.4632050331
hs:boot_smoke,50,341.807,0.2931757813,0.4594690188,0.003466232148,0.01651414623,1.490338793,3.206021084,0.4632050331
hs:boot_smoke,51,343.173,0.3102507813,0.4659835998,0.003765777493,0.01578050931,1.479211572,3.194941304,0.4632050331
hs:boot_smoke,52,344.545,0.3274007813,0.4672134009,0.004346248996,0.01609332085,1.470779422,3.183813748,0.4632050331
hs:boot_smoke,53,345.922,0.3446132813,0.4664352023,0.003814435604,0.0162767488,1.467424942,3.172648728,0.4632050331
