temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,300.0,pivot,1600,1052,972,0.657500,0.933718,0.607500,1041,0.650625
0,300.0,crankshaft,1553,757,727,0.487444,0.960370,0.468126,757,0.487444
0,300.0,end,1647,1028,990,0.624165,0.963035,0.601093,1028,0.624165
1,320.0,pivot,1631,1059,904,0.649295,0.862595,0.554261,1048,0.642551
1,320.0,crankshaft,1617,815,754,0.504020,0.925153,0.466296,815,0.504020
1,320.0,end,1552,959,908,0.617912,0.946820,0.585052,959,0.617912
2,340.0,pivot,1607,1010,875,0.628500,0.872383,0.544493,1003,0.624144
2,340.0,crankshaft,1548,700,620,0.452196,0.885714,0.400517,700,0.452196
2,340.0,end,1645,974,888,0.592097,0.911704,0.539818,974,0.592097
3,360.0,pivot,1595,992,771,0.621944,0.781947,0.483386,986,0.618182
3,360.0,crankshaft,1621,771,689,0.475632,0.893645,0.425046,771,0.475632
3,360.0,end,1584,978,892,0.617424,0.912065,0.563131,978,0.617424
