temperature,b_median,b_lo,b_hi,mean_contacts_median,mean_contacts_lo,mean_contacts_hi,mean_contacts_obs,mean_rg_median,mean_rg_lo,mean_rg_hi,mean_rg_obs
280,-0.1066762604,-0.1226426135,-0.09561226347,9.387669171,9.19914365,9.670780817,8.984389264,1.707529326,1.694894613,1.716002915,1.73303239
281.119,-0.111423796,-0.1269128294,-0.1006052289,9.470455518,9.283469682,9.748814372,9.245772473,1.703823606,1.691430896,1.712206747,1.725422647
282.243,-0.1161546473,-0.1311680386,-0.1055806475,9.55411466,9.368727477,9.827580173,9.307776459,1.700088187,1.687942802,1.708378504,1.7239567
283.371,-0.1208646037,-0.1355013082,-0.1105340911,9.638582149,9.454853068,9.908842252,9.500424122,1.696326168,1.684352661,1.704521305,1.718127034
284.504,-0.1255578409,-0.1398402114,-0.1154699511,9.723942826,9.541934715,9.991293041,9.659105502,1.692533995,1.680718767,1.70063145,1.714832479
285.641,-0.1302302183,-0.1441598298,-0.1203838729,9.810131253,9.62990746,10.07447407,9.834191087,1.688714797,1.677061574,1.696712094,1.709947548
286.783,-0.1349293838,-0.1484639658,-0.1252801823,9.898053322,9.718860566,10.15846553,10.00332032,1.684828801,1.673377742,1.692759517,1.700946195
287.929,-0.139679275,-0.1527488554,-0.1301545974,9.988213423,9.808727984,10.24320074,10.21586255,1.680854324,1.669670379,1.688776912,1.694346421
289.08,-0.1444119831,-0.1570182442,-0.1350113789,10.07936263,9.899599923,10.32876042,10.39969494,1.676846907,1.665936143,1.684760545,1.684980734
290.235,-0.1491234051,-0.1612684307,-0.1398463163,10.17143241,9.991409137,10.4150768,10.52441992,1.672809816,1.662178176,1.680713651,1.68135503
291.395,-0.1537503628,-0.1655031043,-0.1446636065,10.26316871,10.08424672,10.50223104,10.66035238,1.668798054,1.658393134,1.676632482,1.677789304
292.56,-0.1583440348,-0.1697222324,-0.1494632124,10.35556209,10.17812497,10.59022997,10.742928,1.664768276,1.654580921,1.672516781,1.673152506
293.729,-0.1629168519,-0.1739222061,-0.1542410286,10.44886478,10.27297462,10.67900406,10.80745694,1.660709669,1.650744738,1.668369857,1.673833686
294.903,-0.1674727413,-0.1781066323,-0.1590011583,10.54316571,10.36888796,10.76863504,10.91321815,1.65661861,1.646881243,1.664187946,1.672476756
296.082,-0.1720116736,-0.182275484,-0.1637435706,10.63847449,10.46587677,10.85912906,11.13718124,1.652494941,1.642990372,1.659970828,1.665701934
297.266,-0.1765336215,-0.1864287361,-0.168468237,10.73480051,10.5639526,10.950492,11.28130401,1.648338517,1.639072074,1.65571829,1.658448328
298.454,-0.1810347861,-0.1905628994,-0.1731711885,10.8320707,10.66304305,11.0426517,11.4622364,1.644152738,1.635129636,1.651433751,1.653052085
299.647,-0.1855189781,-0.194681474,-0.1778564066,10.93037492,10.76324166,11.13569041,11.60946458,1.639933985,1.631159726,1.647113448,1.643945135
300.845,-0.1899861759,-0.1988596464,-0.1825238685,11.02972157,10.86455909,11.23134629,11.84358225,1.63568216,1.627088666,1.642757216,1.638406917
302.047,-0.1944493353,-0.2029072057,-0.1871697042,11.13041348,10.96692017,11.32525166,12.03045767,1.631384619,1.623102396,1.638368571,1.630304786
303.254,-0.1989262359,-0.2069518678,-0.191797806,11.23288128,11.07041909,11.42032718,12.26913418,1.627023424,1.619076747,1.633943756,1.620688739
304.467,-0.2033276055,-0.211016155,-0.1964119456,11.3350758,11.17515193,11.51712848,12.37867027,1.622685948,1.614988574,1.62947898,1.611024222
305.683,-0.2076854553,-0.2150581188,-0.2010007417,11.43770501,11.28086774,11.61467357,12.57566604,1.618342054,1.610879657,1.624985224,1.602430542
306.905,-0.2120829269,-0.2190877593,-0.2055755475,11.54274847,11.38783489,11.71320552,12.58901771,1.613908341,1.606739944,1.620451363,1.606538437
308.132,-0.2165062286,-0.2231017296,-0.2101325629,11.64993355,11.49597463,11.81264691,12.6806258,1.609397005,1.602572899,1.615881052,1.604875237
309.364,-0.2209136322,-0.2271000214,-0.2146717787,11.75827776,11.60529422,11.91299981,12.83944221,1.60484986,1.598378632,1.611274281,1.602046812
310.6,-0.2252869045,-0.2310794215,-0.2191895469,11.86732973,11.71571066,12.01418374,12.76016562,1.600286053,1.594160687,1.606634829,1.604339052
311.842,-0.2296177347,-0.2350463639,-0.223693172,11.97686399,11.82740854,12.11636343,12.94496911,1.595715099,1.58991239,1.601955239,1.595811457
