scheme,name,n_train,n_val,optimization_success,optimization_iterations,optimization_objective,boundary_hits,h,s,a2,contact_train_loss_sum,contact_train_loss_mean,contact_val_loss_sum,contact_val_loss_mean,contact_all_loss_sum,contact_all_loss_mean,rg_train_loss_sum,rg_train_loss_mean,rg_val_loss_sum,rg_val_loss_mean,rg_all_loss_sum,rg_all_loss_mean,combined_val_loss_sum,combined_val_loss_mean
every_third_phase,every_third_phase0,42,22,True,31,2.647419452,,345.3033773,1.350994871,0.1948385841,2.371895253,0.05647369651,1.234494136,0.05611336982,3.606389389,0.05634983421,0.5510483967,0.01312019992,0.2892371151,0.0131471416,0.8402855119,0.01312946112,1.379112694,0.06268694062
every_third_phase,every_third_phase1,43,21,True,31,2.709836898,,347.9587346,1.359376442,0.201350232,2.425524837,0.05640755435,1.180439734,0.05621141589,3.605964571,0.05634319642,0.568624123,0.01322381681,0.2724552253,0.01297405835,0.8410793483,0.01314186482,1.316667346,0.06269844507
every_third_phase,every_third_phase2,43,21,True,38,2.695685445,,347.2479432,1.357121653,0.2008072051,2.414852051,0.05615935002,1.191322164,0.05672962686,3.606174215,0.0563464721,0.561666789,0.01306201835,0.2789780416,0.01328466865,0.8406448306,0.01313507548,1.330811185,0.06337196118
kfold,kfold5_fold0,51,13,True,32,3.217208275,,345.9568346,1.352945724,0.1948490367,2.882178772,0.05651330925,0.7240935629,0.05569950484,3.606272335,0.05634800523,0.670059007,0.0131384119,0.1704333951,0.01311026116,0.8404924021,0.01313269378,0.8093102604,0.06225463542
kfold,kfold5_fold1,51,13,True,33,3.214008084,,346.9061491,1.356176086,0.2008962355,2.878327022,0.05643778475,0.7278293264,0.05598687126,3.606156349,0.05634619295,0.6713621231,0.0131639632,0.1693131895,0.0130240915,0.8406753126,0.01313555176,0.8124859212,0.06249891701
kfold,kfold5_fold2,51,13,True,35,3.213158508,,346.1065463,1.353507821,0.1981398134,2.878592824,0.05644299655,0.7277767011,0.05598282316,3.606369525,0.05634952383,0.6691313675,0.01312022289,0.1711207479,0.01316313446,0.8402521155,0.0131289393,0.8133370751,0.06256439039
kfold,kfold5_fold3,51,13,True,31,3.197687817,,346.9904593,1.356406004,0.2019227349,2.862949856,0.05613627169,0.7433030482,0.05717715755,3.606252904,0.05634770163,0.6694759222,0.01312697887,0.17102337,0.01315564385,0.8404992922,0.01313280144,0.8288147332,0.06375497948
kfold,kfold5_fold4,52,12,True,44,3.263850512,,348.1667047,1.359993212,0.2001575069,2.922534511,0.05620258675,0.6833057199,0.05694214332,3.605840231,0.0563412536,0.682632002,0.0131275385,0.15869666,0.01322472166,0.841328662,0.01314576034,0.7626540499,0.06355450415
blocked_low,blocked_low,48,16,True,37,3.213709829,,306.5775041,1.228948381,0.1164116664,2.883343575,0.06006965781,0.7445706645,0.04653566653,3.62791424,0.05668615999,0.6607325073,0.01376526057,0.1766976562,0.01104360351,0.8374301635,0.0130848463,0.8329194926,0.05205746829
blocked_mid,blocked_mid,48,16,True,32,3.042970168,,347.9935101,1.358427422,0.1934634853,2.713259854,0.05652624695,0.8932530032,0.0558283127,3.606512857,0.05635176339,0.6594206287,0.01373792977,0.1807408186,0.01129630116,0.8401614474,0.01312752262,0.9836234126,0.06147646328
blocked_high,blocked_high,48,16,True,31,2.828247562,,298.6210407,1.208306249,0.3443510165,2.546962227,0.05306171306,1.136604234,0.07103776465,3.683566461,0.05755572596,0.5625706704,0.0117202223,0.279237677,0.01745235481,0.8418083474,0.01315325543,1.276223073,0.07976394205
random,random0,52,12,True,28,3.32413932,,345.6823892,1.351097998,0.1894559859,2.976802697,0.05724620571,0.6302520795,0.05252100663,3.607054777,0.05636023088,0.6946732467,0.0133591009,0.1444648508,0.01203873757,0.8391380975,0.01311153277,0.7024845049,0.05854037541
random,random1,52,12,True,25,3.241539906,,348.1410513,1.360819551,0.2066237983,2.902039809,0.05580845787,0.7034108646,0.05861757205,3.605450674,0.05633516678,0.6790001936,0.01305769603,0.1632575544,0.0136047962,0.842257748,0.01316027731,0.7850396417,0.06541997015
random,random2,52,12,True,30,3.304916201,,346.0534387,1.352197049,0.1890647505,2.959448126,0.05691246396,0.6475291573,0.05396076311,3.606977283,0.05635902005,0.6909361496,0.01328723365,0.1483734118,0.01236445098,0.8393095614,0.0131142119,0.7217158632,0.0601429886
random,random3,52,12,True,30,3.256158666,,348.9360788,1.361708506,0.1973387372,2.911474605,0.05598989625,0.6946785809,0.05788988174,3.606153186,0.05634614353,0.6893681209,0.01325707925,0.1514659633,0.01262216361,0.8408340842,0.01313803257,0.7704115625,0.06420096354
