pair,T_lo,T_hi,proposals,acceptances,rate
0,280.0,282.7586206896552,2000,1950,0.9750
1,282.7586206896552,285.51724137931035,2000,1942,0.9710
2,285.51724137931035,288.2758620689655,2000,1944,0.9720
3,288.2758620689655,291.0344827586207,2000,1965,0.9825
4,291.0344827586207,293.7931034482759,2000,1952,0.9760
5,293.7931034482759,296.55172413793105,2000,1951,0.9755
6,296.55172413793105,299.3103448275862,2000,1952,0.9760
7,299.3103448275862,302.0689655172414,2000,1953,0.9765
8,302.0689655172414,304.82758620689657,2000,1945,0.9725
9,304.82758620689657,307.58620689655174,2000,1946,0.9730
10,307.58620689655174,310.3448275862069,2000,1951,0.9755
11,310.3448275862069,313.1034482758621,2000,1958,0.9790
12,313.1034482758621,315.86206896551727,2000,1949,0.9745
13,315.86206896551727,318.62068965517244,2000,1956,0.9780
14,318.62068965517244,321.37931034482756,2000,1955,0.9775
15,321.37931034482756,324.1379310344828,2000,1958,0.9790
16,324.1379310344828,326.8965517241379,2000,1931,0.9655
17,326.8965517241379,329.65517241379314,2000,1953,0.9765
18,329.65517241379314,332.41379310344826,2000,1956,0.9780
19,332.41379310344826,335.17241379310343,2000,1959,0.9795
20,335.17241379310343,337.9310344827586,2000,1954,0.9770
21,337.9310344827586,340.6896551724138,2000,1948,0.9740
22,340.6896551724138,343.44827586206895,2000,1962,0.9810
23,343.44827586206895,346.2068965517241,2000,1950,0.9750
24,346.2068965517241,348.9655172413793,2000,1952,0.9760
25,348.9655172413793,351.7241379310345,2000,1957,0.9785
26,351.7241379310345,354.48275862068965,2000,1952,0.9760
27,354.48275862068965,357.2413793103448,2000,1957,0.9785
28,357.2413793103448,360.0,2000,1958,0.9790
