T,E_mean,E_std,Rg_back_mean,Rg_back_std,Rg_full_mean,Rg_full_std,C_mean,C_std
280.0,-775.433,0.0,11.804,0.0,nan,nan,63.765,0.0
287.14285714285717,-1521.128,0.0,11.573,0.0,nan,nan,68.71,0.0
294.2857142857143,-2345.374,0.0,11.345,0.0,nan,nan,73.028,0.0
301.42857142857144,-3264.001,0.0,11.088,0.0,nan,nan,77.542,0.0
308.57142857142856,-4414.847,0.0,10.666,0.0,nan,nan,84.785,0.0
315.7142857142857,-5762.872,0.0,10.135,0.0,nan,nan,92.877,0.0
322.8571428571429,-7014.034,0.0,10.086,0.0,nan,nan,97.382,0.0
330.0,-8289.764,0.0,9.797,0.0,nan,nan,101.09,0.0
337.14285714285717,-10109.519,0.0,9.152,0.0,nan,nan,109.908,0.0
344.2857142857143,-12432.534,0.0,8.518,0.0,nan,nan,121.937,0.0
351.42857142857144,-15342.019,0.0,8.117,0.0,nan,nan,137.06,0.0
358.57142857142856,-18495.18,0.0,7.41,0.0,nan,nan,151.707,0.0
365.7142857142857,-22589.304,0.0,6.291,0.0,nan,nan,171.272,0.0
372.8571428571429,-27300.369,0.0,5.789,0.0,nan,nan,192.433,0.0
380.0,-29412.725,0.0,5.737,0.0,nan,nan,193.7,0.0
