baseline,model_a,model_b,n_paired,mean_delta,median_delta,std_delta,se_delta,ci_low,ci_high,p_sign_flip,p_holm,p_method,effect_size_dz,effect_size_reliable,frac_a_won,frac_b_won,frac_tie,prob_a_better,prob_practical_equivalent,favored
final_joint_baseline_30mer,hs,hs_quadratic,10,-0.00021533339385644974,-0.0003539523276130524,0.0007184590278786922,0.0002271966933607079,-0.0006259729949960093,0.00022307163158449142,0.361328125,1.0,exact_sign_flip,-0.29971562121258166,True,0.7,0.3,0.0,0.839,1.0,hs
final_joint_baseline_30mer,hs,poly2,10,7.590172777114518e-05,-0.00010079783318158592,0.0009711130634597913,0.00030709291460765753,-0.00046823191418196884,0.0006617691981316237,0.802734375,1.0,exact_sign_flip,0.07815951677215582,True,0.5,0.5,0.0,0.4115,0.9993,poly2
final_joint_baseline_30mer,hs,poly3,10,0.0001278628961574671,0.00021848468072227512,0.0005882222674114878,0.00018601221354489384,-0.00024151473483604511,0.00045219877753328587,0.501953125,1.0,exact_sign_flip,0.21737173725186654,True,0.3,0.7,0.0,0.2316,1.0,poly3
final_joint_baseline_30mer,hs,heat_capacity,10,0.00026367993807195205,0.000265860652311517,0.0004024783698174938,0.00012727483575748479,2.6190537799908853e-05,0.0005015097586352134,0.072265625,0.6640625,exact_sign_flip,0.6551406431891464,True,0.3,0.7,0.0,0.0137,1.0,heat_capacity
final_joint_baseline_30mer,hs_quadratic,poly2,10,0.0002912351216275949,0.00023749025153393943,0.0010987463933250432,0.0003474541173802363,-0.0003359277750086981,0.0009596421211481674,0.431640625,1.0,exact_sign_flip,0.26506127655741807,True,0.4,0.6,0.0,0.1934,0.9808,poly2
final_joint_baseline_30mer,hs_quadratic,poly3,10,0.00034319629001391684,0.0003052957750815863,0.0007592125394882426,0.0002400840852943373,-7.742863467392449e-05,0.0008206036689287557,0.19921875,1.0,exact_sign_flip,0.4520424415609006,True,0.3,0.7,0.0,0.0626,0.9968,poly3
final_joint_baseline_30mer,hs_quadratic,heat_capacity,10,0.0004790133319284018,0.0004475223220419128,0.0007490968461767706,0.00023688522219673903,3.743612185060857e-05,0.0009200307587531471,0.06640625,0.6640625,exact_sign_flip,0.6394544769120081,True,0.2,0.8,0.0,0.0176,0.9903,heat_capacity
final_joint_baseline_30mer,poly2,poly3,10,5.196116838632192e-05,-0.00035747356196089153,0.0008338594369625154,0.00026368950692271453,-0.0004162858167968797,0.0005642373077605828,0.84375,1.0,exact_sign_flip,0.06231406167878836,True,0.6,0.4,0.0,0.4285,1.0,poly3
final_joint_baseline_30mer,poly2,heat_capacity,10,0.00018777821030080687,0.0003807530243250118,0.0007681549156766962,0.00024291191293929415,-0.00028267207042340954,0.0006186658342332215,0.447265625,1.0,exact_sign_flip,0.24445356850367359,True,0.4,0.6,0.0,0.2106,0.9999,heat_capacity
final_joint_baseline_30mer,poly3,heat_capacity,10,0.00013581704191448495,-5.45985472744856e-05,0.0006131449061895146,0.00019389344392891386,-0.0002240138765309959,0.0004969485679696869,0.482421875,1.0,exact_sign_flip,0.2215088807612238,True,0.6,0.4,0.0,0.233,1.0,heat_capacity
