baseline,model,temperature_index,temperature,n_seeds,ess_contacts_min,ess_contacts_median,ess_contacts_total,tau_contacts_max,ess_rg_min,ess_rg_median,tau_rg_max,drift_contacts_max,seed_mean_contacts_std,seed_mean_rg_std,rhat_contacts,rhat_rg
final_joint_baseline_44mer,hs,0,280.0,10,1214.1218164178824,1483.6574541839277,14389.719378878428,1.2354608736259811,1381.0549151758066,1479.4474387246455,1.0861262528500193,0.08027416682920942,0.10294041426421846,0.006633545087019299,1.0000161515759873,0.9996939001825658
final_joint_baseline_44mer,hs,1,281.119,10,1229.3748742259936,1467.192942069188,14390.903475526562,1.2201323058146851,936.0325111011533,1466.414588532803,1.6025084409038235,0.10232802396401047,0.12363187291309617,0.007233671100815617,1.0003695168056606,1.0000150227690299
final_joint_baseline_44mer,hs,2,282.243,10,1176.3871356806178,1487.229973707107,14232.255811896175,1.2750904481220382,1318.8188971498248,1469.1321733307304,1.1373813366200136,0.050435519312943954,0.0968317900049131,0.007978657312007387,0.9997998347162477,0.9999341733748971
final_joint_baseline_44mer,hs,3,283.371,10,1148.3598674087818,1431.6480530709773,13908.600825571617,1.3062107467972361,1342.190633194849,1450.7319540741132,1.1175759708809125,0.08054889017317224,0.09594723086734266,0.0069293856645492626,0.9999692220923767,0.9999448836856463
final_joint_baseline_44mer,hs,4,284.504,10,1123.7260620793506,1443.5004523270356,14024.855958598544,1.3348448973626095,1245.469511153676,1421.622554249745,1.2043650900860294,0.19544015273229157,0.06505194505589762,0.00828041606073446,1.0002908740688217,0.9999954561669053
final_joint_baseline_44mer,hs,5,285.641,10,1188.9343174211115,1385.6568324152258,13932.033130584517,1.2616340347998478,1174.586733788697,1376.905772304966,1.2770449017091003,0.08777204296430666,0.0963133774024495,0.0051563492678312565,0.9997921940745641,0.9998202479999044
final_joint_baseline_44mer,hs,6,286.783,10,1214.0056000544055,1435.2660605003994,14065.95496341827,1.2355791438958583,1144.1729660892943,1484.9328633095706,1.3109905971008025,0.09760149686534916,0.09993955951251497,0.009112160825650752,0.9999154485931585,0.9998616641777845
final_joint_baseline_44mer,hs,7,287.929,10,1201.7780742457182,1412.682188788813,13886.274350850095,1.2481505796662642,1277.736955907246,1471.1188885408656,1.1739505483230999,0.13045363157854675,0.10202100001688141,0.007990034906222455,1.0003824352902277,1.0000380095723629
final_joint_baseline_44mer,hs,8,289.08,10,1233.8019924313894,1478.76724730289,14381.47362091699,1.2157542370668635,1334.7204257213289,1461.8124482156331,1.1238308570795628,0.15967205815335986,0.10676295653872142,0.010718818904772843,1.0001289808875224,1.0001674859848648
final_joint_baseline_44mer,hs,9,290.235,10,995.6349193601873,1443.6413215972393,13933.40214468501,1.5065763271580779,1187.4402919639995,1395.4060330751558,1.2632214100795198,0.07470072988935308,0.06141317267311457,0.0071219135515317505,0.9997312519978192,1.0000281821468873
final_joint_baseline_44mer,hs,10,291.395,10,1090.9727733684117,1500.0,14053.770513456406,1.3749197382522245,1170.9773789601554,1426.6921669313454,1.2809811931055588,0.08377168458488767,0.1164639953900873,0.009524246490254674,1.000051537146178,0.9998536409069666
